Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
1,5.33875664608785e-11,7.30667957836379e-06
1.0594630943593,4.81744893494327e-11,6.94078449092267e-06
1.12246204830937,3.0573175244316e-11,5.52930151504835e-06
1.18920711500272,2.89880059889594e-11,5.38405107599839e-06
1.25992104989487,3.46490115586462e-11,5.88634110111249e-06
1.33483985417003,4.21498511007144e-11,6.49229166787156e-06
1.4142135623731,3.75823147984601e-11,6.1304416479125e-06
1.49830707687668,3.0568410687194e-11,5.52887065205852e-06
1.5874010519682,4.25278042013205e-11,6.52133454143555e-06
1.68179283050743,3.662055252434e-11,6.05149176024722e-06
1.78179743628068,2.97990637078903e-11,5.45885186718693e-06
1.88774862536339,4.64730880291083e-11,6.8171172814547e-06
2,2.72815042297106e-11,5.22316994072667e-06
2.11892618871859,2.9167943221091e-11,5.40073543335452e-06
2.24492409661875,3.67576300660288e-11,6.06280711106899e-06
2.37841423000544,2.28519580794464e-11,4.780372169554e-06
2.51984209978975,2.89531855922008e-11,5.38081644290165e-06
2.66967970834007,3.09904138332558e-11,5.56690343308161e-06
2.82842712474619,3.24176698626576e-11,5.69365171596029e-06
2.99661415375336,2.52653745910094e-11,5.02646740673899e-06
3.1748021039364,3.38951810482895e-11,5.82195680577325e-06
3.36358566101486,2.61291925194292e-11,5.11167218426898e-06
3.56359487256136,2.93529233033444e-11,5.41783382020383e-06
3.77549725072677,2.92278635825999e-11,5.40628001333634e-06
4,2.9948441971183e-11,5.47251696856053e-06
4.23785237743718,2.51746920411194e-11,5.01743879296194e-06
4.48984819323749,2.54411253968293e-11,5.04391964615113e-06
4.75682846001088,3.0741311445872e-11,5.54448477731448e-06
5.03968419957949,3.26342642184417e-11,5.71264073948657e-06
5.33935941668014,2.89430833513967e-11,5.37987763349658e-06
5.65685424949238,2.40230970735964e-11,4.9013362538798e-06
5.99322830750673,2.99080021638828e-11,5.46882091166668e-06
6.3496042078728,2.78049425104046e-11,5.27303921001965e-06
6.72717132202972,2.79995479621167e-11,5.2914599083917e-06
7.12718974512272,2.87220778091771e-11,5.35929825715803e-06
7.55099450145355,2.35220814163116e-11,4.84995684685045e-06
8,2.81186184102052e-11,5.30269916270999e-06
8.47570475487436,2.97005342495495e-11,5.44981965293802e-06
8.97969638647498,2.64083615978466e-11,5.13890665393394e-06
9.51365692002177,2.59536428100191e-11,5.09447178910818e-06
10.079368399159,2.75110940579364e-11,5.24510191111063e-06
10.6787188333603,2.35741540636807e-11,4.85532224097234e-06
11.3137084989848,2.73056976362916e-11,5.22548539719437e-06
11.9864566150135,2.83216387290013e-11,5.32180784405086e-06
12.6992084157456,2.77387257359909e-11,5.26675666193065e-06
13.4543426440594,2.68840822996613e-11,5.18498623910048e-06
14.2543794902454,2.76843978620275e-11,5.26159651265921e-06
15.1019890029071,2.76161044411889e-11,5.25510270510377e-06
16,2.63023211747731e-11,5.12857886502422e-06
16.9514095097487,2.74473699858054e-11,5.23902376266852e-06
17.95939277295,2.85815300087812e-11,5.34616965768775e-06
19.0273138400435,2.42806485169052e-11,4.92753980368553e-06
20.158736798318,2.62317874373022e-11,5.12169771045717e-06
21.3574376667206,2.87091251421658e-11,5.35808969150068e-06
22.6274169979695,2.60816171949691e-11,5.1070164670744e-06
23.9729132300269,2.62241802521352e-11,5.12095501368008e-06
25.3984168314912,2.55186288753694e-11,5.05159666594329e-06
26.9086852881189,2.64401263366071e-11,5.14199633766956e-06
28.5087589804909,2.7507451750627e-11,5.2447546892707e-06
30.2039780058142,2.52272239227088e-11,5.02267099487004e-06
32,2.87604550826517e-11,5.36287750024664e-06
33.9028190194974,2.81399637418647e-11,5.30471146641028e-06
35.9187855458999,2.5138225993804e-11,5.0138035455933e-06
38.0546276800871,2.6227227532693e-11,5.121252535532e-06
40.3174735966359,2.60931811537316e-11,5.10814850545006e-06
42.7148753334411,2.7011567659918e-11,5.19726540210503e-06
45.254833995939,2.69090161911657e-11,5.18739011364729e-06
47.9458264600538,2.70897293600371e-11,5.20477947275743e-06
50.7968336629824,7.42764886360292e-10,2.72537132582019e-05
53.8173705762377,2.57077323708529e-11,5.07027931881991e-06
57.0175179609817,2.63670399793e-11,5.13488461207261e-06
60.4079560116284,2.78686572774385e-11,5.27907731307645e-06
64,2.63846641673958e-11,5.1366004484869e-06
67.8056380389949,2.63419117331347e-11,5.13243721180637e-06
71.8375710917999,2.59513501490845e-11,5.09424676955137e-06
76.1092553601741,2.62059488440051e-11,5.11917462526969e-06
80.6349471932719,2.74143884362257e-11,5.2358751356603e-06
85.4297506668822,2.75294092868971e-11,5.24684755704767e-06
90.5096679918781,2.61696576775105e-11,5.11562876658486e-06
95.8916529201076,2.54395523508433e-11,5.04376370886299e-06
101.593667325965,3.14711701138844e-11,5.6099171218374e-06
107.634741152475,2.58080241152103e-11,5.08015985134427e-06
114.035035921963,2.55090236282253e-11,5.05064586248386e-06
120.815912023257,2.61744359312637e-11,5.11609577033735e-06
128,2.67598135416035e-11,5.1729888402744e-06
135.61127607799,2.55840183391219e-11,5.05806468316904e-06
143.6751421836,2.63177475115242e-11,5.13008260279736e-06
152.218510720348,3.23551924372876e-11,5.68816248337612e-06
161.269894386544,2.58590056151662e-11,5.08517508205629e-06
170.859501333764,2.65365273686907e-11,5.15136170043327e-06
181.019335983756,2.59237176689424e-11,5.09153392102443e-06
191.783305840215,2.60724261724496e-11,5.10611654512993e-06
203.18733465193,2.61670668635442e-11,5.11537553494797e-06
215.269482304951,2.66979271880555e-11,5.16700369537854e-06
228.070071843927,2.59669767023517e-11,5.09578028395571e-06
