Frequency_Hz,Run_01_ASD_V_per_rtHz,Run_02_ASD_V_per_rtHz,Run_03_ASD_V_per_rtHz,Run_04_ASD_V_per_rtHz,Run_05_ASD_V_per_rtHz,Run_06_ASD_V_per_rtHz,Run_07_ASD_V_per_rtHz,Run_08_ASD_V_per_rtHz,Run_09_ASD_V_per_rtHz,Run_10_ASD_V_per_rtHz,Run_11_ASD_V_per_rtHz,Run_12_ASD_V_per_rtHz,Run_13_ASD_V_per_rtHz,Run_14_ASD_V_per_rtHz,Run_15_ASD_V_per_rtHz,Run_16_ASD_V_per_rtHz,Run_17_ASD_V_per_rtHz,Run_18_ASD_V_per_rtHz,Run_19_ASD_V_per_rtHz,Run_20_ASD_V_per_rtHz
1,5.7017120095021e-06,4.22740036164109e-06,6.26650079815166e-06,6.24245143139892e-06,8.07149169378682e-06,4.09354186350354e-06,8.08586585423902e-06,6.36855008607725e-06,9.49907436906055e-06,3.48483043525346e-06,1.25623144977871e-05,1.14562706065051e-05,2.26378437137168e-06,3.03288739506755e-06,7.56233282448169e-06,2.57273894886351e-06,1.25128849764015e-05,5.96141063481808e-06,4.46488763663618e-06,8.34725624461647e-06
1.0594630943593,5.04030177596511e-06,5.45920011977921e-06,4.98421968966471e-06,6.65211779193419e-06,8.58287112342639e-06,4.3010666680824e-06,4.89188631701041e-06,8.1009397995003e-06,9.87837467997463e-06,3.93114729480329e-06,8.76678889665865e-06,8.18965892426014e-06,3.85195614104061e-06,6.35484745583746e-06,2.8547828702731e-06,4.58660288776892e-06,1.21209922120152e-05,3.69688671541547e-06,8.55680604747211e-06,9.07152193962374e-06
1.12246204830937,2.99262903812148e-06,6.54114989085012e-06,6.03868335731297e-06,3.81746405089298e-06,5.01871140685961e-06,4.32758649780374e-06,5.32221731420213e-06,7.37356627249578e-06,5.74808874326123e-06,4.05753307672544e-06,9.96500935515408e-06,9.27021708974621e-06,5.90654564436956e-06,4.95245933804777e-06,3.96895373352725e-06,3.73576820918509e-06,3.11397556237262e-06,4.39043787276585e-06,4.31267387923119e-06,3.26102555279631e-06
1.18920711500272,5.71707076679934e-06,7.85741736488659e-06,3.14340955798186e-06,4.63638690513611e-06,3.6158132895683e-06,4.84301944922393e-06,4.58381938081684e-06,5.50226765498198e-06,4.85742827909337e-06,2.71482979802543e-06,6.91101328975513e-06,7.66732443390941e-06,2.96609650271954e-06,7.42607562628416e-06,2.17434248877996e-06,3.6984065055893e-06,6.38967509879615e-06,6.18719070865281e-06,6.77230141137821e-06,4.61576520948228e-06
1.25992104989487,4.44749497660417e-06,7.36602184482564e-06,3.20061443564961e-06,4.47257761785087e-06,3.14995709915186e-06,6.37986486108194e-06,4.91523326203744e-06,8.99289471971804e-06,6.35528768898616e-06,3.09045919314816e-06,4.32579830587636e-06,9.61767427796037e-06,3.07491869734127e-06,8.68584418944328e-06,8.07577295545387e-06,4.10542734921446e-06,6.50028013184313e-06,5.44456991175816e-06,4.7128819093215e-06,3.28703125533434e-06
1.33483985417003,2.90809783445996e-06,5.80397496097708e-06,2.79908955457118e-06,7.61906511045897e-06,3.51848434923977e-06,6.51128624342647e-06,7.67079190740495e-06,5.066473128868e-06,5.46458909491668e-06,3.14389859623889e-06,5.21074766548297e-06,5.53058344526714e-06,6.23559681358028e-06,6.77507206647943e-06,5.59025747800554e-06,9.82199781758382e-06,5.79421397850245e-06,3.72809060895249e-06,1.48143316530024e-05,4.33059646480248e-06
1.4142135623731,5.68227314344526e-06,5.49834547073285e-06,4.00629771032069e-06,4.51510713915235e-06,2.73303199103434e-06,6.72180578126061e-06,5.95249276011562e-06,8.35234881127537e-06,6.37219730997788e-06,4.77907459809577e-06,6.29803953108566e-06,5.04013018579546e-06,7.80565329666853e-06,7.88452883497262e-06,5.77962476792596e-06,8.0772570880674e-06,7.30787471329293e-06,2.53624735667706e-06,8.68932412303481e-06,3.04119166656207e-06
1.49830707687668,8.57995549198042e-06,4.83475865527332e-06,5.73358723573198e-06,7.84498949943662e-06,3.6304724693613e-06,4.17071501022162e-06,5.39600975433486e-06,2.81939573974799e-06,4.77741481644288e-06,6.72288028017669e-06,4.92513976484803e-06,5.57737503844249e-06,4.65459315112366e-06,6.62181454445911e-06,4.47277906663707e-06,6.43050971071356e-06,3.4977468547936e-06,4.51133170737677e-06,6.21731879128663e-06,5.5517112113017e-06
1.5874010519682,4.31129311499412e-06,2.56743192545546e-06,7.35117332456953e-06,6.24316098623534e-06,4.1117573647759e-06,9.80793404262811e-06,7.47418212880995e-06,5.66663791100129e-06,6.9256900385042e-06,9.35363129893907e-06,4.43185789975023e-06,3.16394294354704e-06,6.02080683137249e-06,8.51833488001801e-06,5.69570284121145e-06,9.57908695708083e-06,5.155617967925e-06,5.34109756916706e-06,7.08567037994393e-06,5.27730910029633e-06
1.68179283050743,3.63897565265227e-06,6.71820724800305e-06,4.66180494560522e-06,4.23118437818827e-06,4.81297138603253e-06,7.53121420877642e-06,8.85865462565437e-06,5.67307947441597e-06,1.50338165221438e-06,5.5032793507305e-06,6.27216695682009e-06,8.67387062864271e-06,4.69859427461665e-06,7.43250604022646e-06,6.73597074160578e-06,7.0830113941417e-06,5.38543617937371e-06,6.10689299686352e-06,6.44097295484182e-06,4.01110258719547e-06
1.78179743628068,1.56820829755306e-06,4.62467197917961e-06,4.81376955982066e-06,5.52294226418772e-06,6.47299447474324e-06,5.5907195797407e-06,7.01289049820171e-06,4.59475293273047e-06,7.08816178967762e-06,4.91554517245314e-06,4.92313840360276e-06,8.06008859521272e-06,5.18241188802916e-06,4.86928993093528e-06,5.08898201769796e-06,3.92419420742864e-06,5.87223543487392e-06,3.23828069214734e-06,7.13418898262555e-06,4.86552424294003e-06
1.88774862536339,6.85227098201002e-06,8.71231602987007e-06,6.31691097778698e-06,1.5533172002233e-06,7.52221612239701e-06,9.51262534416809e-06,9.87899331649832e-06,3.42611402696839e-06,7.62185641589835e-06,4.7051238613983e-06,2.7242051585846e-06,1.42166131919939e-05,5.78582322433833e-06,6.87055484064436e-06,4.41018136183841e-06,4.87089882603928e-06,2.2658551959776e-06,6.0224021741371e-06,6.21801892883746e-06,3.76747987783473e-06
2,5.93599846451273e-06,5.44582548821418e-06,2.68734193861196e-06,5.3376799925628e-06,5.02394748545251e-06,4.43132203550215e-06,4.80421721124909e-06,5.8189282843222e-06,5.01229437214341e-06,2.19657245970411e-06,5.3969903923122e-06,5.25225374276788e-06,6.13227940720893e-06,3.14316269162813e-06,4.06274820795844e-06,8.43443976254009e-06,6.13520494791121e-06,5.13472549082829e-06,5.54230284695864e-06,5.16645703949178e-06
2.11892618871859,4.7154242239465e-06,5.29517266315295e-06,3.7480560282608e-06,6.23003418841295e-06,6.84342379537369e-06,6.57277467083443e-06,5.9269263641429e-06,4.47611629835327e-06,5.82306079946867e-06,3.40701168049728e-06,9.02794601131149e-06,4.15580783803742e-06,2.53080241789956e-06,5.56632961344289e-06,3.7948228880813e-06,5.41892144882386e-06,2.68995353702124e-06,2.84518833087377e-06,8.48530324991085e-06,4.71695216497527e-06
2.24492409661875,4.14344562377393e-06,7.45511655500517e-06,3.84962757711473e-06,5.53449802074821e-06,7.1413681761123e-06,8.28918108234672e-06,4.31371037689789e-06,4.31109250911162e-06,7.38652898273124e-06,4.01761541660685e-06,3.92471720228419e-06,4.6441092994672e-06,4.4089393388801e-06,7.44829547685118e-06,3.66041091850304e-06,9.50813294552001e-06,2.69374935412169e-06,5.79896981342265e-06,9.54205289341331e-06,6.45947023147061e-06
2.37841423000544,5.21401886301542e-06,4.01939800184603e-06,7.25753030407301e-06,3.87720101422801e-06,3.7128949311659e-06,5.95695334686174e-06,3.57169824695007e-06,3.78654097402496e-06,3.69589848810874e-06,3.27615944393608e-06,8.06900676760288e-06,6.25029625221858e-06,2.89682994053493e-06,5.15462854569584e-06,2.89768250277799e-06,3.08246041340835e-06,5.83061616686711e-06,1.71504393388475e-06,3.84078723942451e-06,6.04238029914446e-06
2.51984209978975,6.22075211489565e-06,2.95843837359187e-06,2.99927037395142e-06,2.83057310705499e-06,6.43951467488574e-06,6.32680356825119e-06,4.844708854049e-06,8.11826415831105e-06,3.36266574181709e-06,4.14608052542104e-06,3.52906253625143e-06,6.48580447724295e-06,4.90129496544683e-06,4.26303407219857e-06,5.45525980648555e-06,5.71735242946569e-06,6.77857637616018e-06,6.74351727521063e-06,6.86729669572597e-06,4.18176484924946e-06
2.66967970834007,7.77170413054039e-06,4.02491371705937e-06,4.42535996161174e-06,4.85351544416966e-06,5.30906907773175e-06,4.28772921793617e-06,7.45839343365489e-06,4.0826881634907e-06,4.33175303801469e-06,2.64502220737711e-06,6.21726648652448e-06,7.71883601729333e-06,5.20478781389186e-06,6.71387630609424e-06,4.68251762250402e-06,8.2413413369011e-06,4.52286402614728e-06,4.97058756263577e-06,6.33057218556653e-06,3.15528988507177e-06
2.82842712474619,4.96803850740896e-06,7.00559758946918e-06,6.14360532126601e-06,4.3321692104194e-06,6.88766127581889e-06,3.72676074039933e-06,5.81042678013004e-06,6.59111912160944e-06,4.05991935645693e-06,5.66135751083465e-06,7.12786872417907e-06,5.49000016271324e-06,8.16120700714019e-06,6.435132939837e-06,4.72057397565905e-06,5.21521766819271e-06,4.50503764933372e-06,3.65395290446606e-06,5.54111234485689e-06,5.31222574187936e-06
