Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0630725917013492,0.000694715709567138,5.7017120095021e-06,0.000683413245534694,5.17481989037512e-06,4.9179769666992e-06,3.82969063230886e-06,-2.17245595829645,1,0,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0629336581008959,0.000684743342684161,4.22740036164109e-06,0.000684144367857718,5.183976832697e-06,4.92987225944555e-06,3.82722921687117e-06,-2.19902385639842,1,0,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0629794519560691,0.000689847818581234,6.26650079815166e-06,0.00068373359998683,5.13299077975232e-06,4.93048502596085e-06,3.82950715524231e-06,-2.19493517710077,1,0,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0626298243333293,0.000683994431542583,6.24245143139892e-06,0.000683519331949209,5.12250439334293e-06,4.92816039622557e-06,3.8266485771954e-06,-2.19732507960949,1,0,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0627795925905005,0.000683527519647469,8.07149169378682e-06,0.000683039483763989,5.17418275644255e-06,4.92144444114761e-06,3.82213810968085e-06,-2.19572421598506,1,0,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.061959921360809,0.000694798685700717,4.09354186350354e-06,0.00068357798563253,5.14521294634552e-06,4.92597087529206e-06,3.8250620066651e-06,-2.19706720038072,1,0,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0601980719157386,0.000696560347939913,8.08586585423902e-06,0.000682938598217442,5.19298983734831e-06,4.92054597356362e-06,3.82261196126332e-06,-2.19306158888743,1,0,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0594335126643647,0.000695984393373856,6.36855008607725e-06,0.000681895444643742,5.16487612961693e-06,4.91015888416822e-06,3.81612633598233e-06,-2.1894560283507,1,0,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0587215452080035,0.000687590568094089,9.49907436906055e-06,0.000681613117582249,5.13603976469431e-06,4.90142163305954e-06,3.82736104224095e-06,-2.14845262563441,1,0,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (10).tdms,1100002,50000,-10.33808,-0.0585909714879178,0.000682518531481758,3.48483043525346e-06,0.000681879000248194,5.14226190376676e-06,4.90807946726224e-06,3.82413809547676e-06,-2.16756037793886,1,0,NaN,0,0,0,0
