Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
1,5.7425901353993e-11,7.57798794892107e-06
1.0594630943593,5.01924563301903e-11,7.0846634592047e-06
1.12246204830937,4.16186028511336e-11,6.45124816226547e-06
1.18920711500272,3.73557019491535e-11,6.1119311145622e-06
1.25992104989487,3.36066599928855e-11,5.79712514897561e-06
1.33483985417003,3.2682858819461e-11,5.71689240929555e-06
1.4142135623731,3.27759654685769e-11,5.72502973516967e-06
1.49830707687668,3.39259776190308e-11,5.82460106951805e-06
1.5874010519682,3.74975452594086e-11,6.12352392494784e-06
1.68179283050743,3.94358095723866e-11,6.27979375237648e-06
1.78179743628068,4.12801765716736e-11,6.4249651027592e-06
1.88774862536339,4.31819290052992e-11,6.57129583912482e-06
2,2.86574638761309e-11,5.35326665468206e-06
2.11892618871859,3.25651581416637e-11,5.70658901110495e-06
2.24492409661875,3.28194489733622e-11,5.72882614270691e-06
2.37841423000544,2.89673767549399e-11,5.38213496253484e-06
2.51984209978975,3.25352484777492e-11,5.70396778372294e-06
2.66967970834007,3.27290733883138e-11,5.72093291241156e-06
2.82842712474619,3.13036422493735e-11,5.59496579519245e-06
2.99661415375336,2.79446767713803e-11,5.28627248364859e-06
3.1748021039364,3.09551166296149e-11,5.56373225718266e-06
3.36358566101486,2.71729457804944e-11,5.21276757399506e-06
3.56359487256136,2.73032866631944e-11,5.22525469840413e-06
3.77549725072677,2.76447600687423e-11,5.25782845562141e-06
4,2.98749946665949e-11,5.4658022893803e-06
4.23785237743718,2.49032838426004e-11,4.99031901210738e-06
4.48984819323749,2.55449711295806e-11,5.05420331304357e-06
4.75682846001088,2.95976588609836e-11,5.44037304428507e-06
5.03968419957949,3.04307248918397e-11,5.51640506959375e-06
5.33935941668014,2.77492843736637e-11,5.26775895174255e-06
5.65685424949238,2.54158452582096e-11,5.04141302198199e-06
5.99322830750673,2.98005044225185e-11,5.4589838269149e-06
6.3496042078728,2.74317922373585e-11,5.23753684830556e-06
6.72717132202972,3.17923722860932e-11,5.63847251355304e-06
7.12718974512272,2.7933350647931e-11,5.28520109815426e-06
7.55099450145355,2.63667003583184e-11,5.13485154199402e-06
8,2.71435683269757e-11,5.20994897546758e-06
8.47570475487436,2.74995235601176e-11,5.24399881389361e-06
8.97969638647498,2.53234424717711e-11,5.03224030346039e-06
9.51365692002177,2.68540610607776e-11,5.18209041418399e-06
10.079368399159,2.69486152388284e-11,5.19120556699774e-06
10.6787188333603,2.4007881987391e-11,4.89978387149791e-06
11.3137084989848,2.72609854998863e-11,5.22120536848402e-06
11.9864566150135,2.76872023783536e-11,5.26186301402399e-06
12.6992084157456,2.68147117430991e-11,5.17829235782407e-06
13.4543426440594,2.49944050237635e-11,4.99944047106909e-06
14.2543794902454,2.90285783753255e-11,5.38781758927727e-06
15.1019890029071,2.68466790815707e-11,5.18137810640863e-06
16,2.67983688817516e-11,5.17671410083187e-06
16.9514095097487,2.88048704935173e-11,5.36701690825707e-06
17.95939277295,2.75540108026737e-11,5.24919144275323e-06
19.0273138400435,2.63236305023612e-11,5.13065595244518e-06
20.158736798318,2.51272969487322e-11,5.01271353148494e-06
21.3574376667206,2.72050470249997e-11,5.21584576315286e-06
22.6274169979695,2.60365006514704e-11,5.10259744164385e-06
23.9729132300269,2.7113546675415e-11,5.20706699355933e-06
25.3984168314912,2.51325334118246e-11,5.01323582248278e-06
26.9086852881189,2.59844408657261e-11,5.09749358662923e-06
28.5087589804909,2.68867475012515e-11,5.18524324417394e-06
30.2039780058142,2.60141628928905e-11,5.10040811042514e-06
32,2.74968469809746e-11,5.24374360366471e-06
33.9028190194974,2.78846432469517e-11,5.28059118347101e-06
35.9187855458999,2.53999613854698e-11,5.03983743641298e-06
38.0546276800871,2.60755230391931e-11,5.10641978681669e-06
40.3174735966359,2.61684588589249e-11,5.11551159307893e-06
42.7148753334411,2.63981445951942e-11,5.1379124744583e-06
45.254833995939,2.61769652722912e-11,5.11634295882237e-06
47.9458264600538,2.70776483737313e-11,5.20361877674867e-06
50.7968336629824,7.45315757019618e-10,2.73004717362103e-05
53.8173705762377,2.66312673982539e-11,5.16054913727734e-06
57.0175179609817,2.67352565548311e-11,5.17061471730694e-06
60.4079560116284,2.77792718153846e-11,5.27060450189393e-06
64,2.57874453219417e-11,5.07813403938314e-06
67.8056380389949,2.62772800847556e-11,5.12613695532567e-06
71.8375710917999,2.64790335858043e-11,5.14577822936476e-06
76.1092553601741,2.63881332912418e-11,5.13693812413988e-06
80.6349471932719,2.67154426632532e-11,5.16869835289826e-06
85.4297506668822,2.74876357786322e-11,5.24286522606029e-06
90.5096679918781,2.63311464495763e-11,5.13138835497532e-06
95.8916529201076,2.53558612795184e-11,5.03546038406802e-06
101.593667325965,3.18270891202199e-11,5.64155024086642e-06
107.634741152475,2.6078015200828e-11,5.10666380338749e-06
114.035035921963,2.56878140799029e-11,5.06831471792181e-06
120.815912023257,2.62604658503799e-11,5.12449664361095e-06
128,2.67015796146393e-11,5.16735712087323e-06
135.61127607799,2.57675735096889e-11,5.07617705657407e-06
143.6751421836,2.64642700055784e-11,5.14434349607201e-06
152.218510720348,3.2674915749123e-11,5.7161976653299e-06
161.269894386544,2.61203314689687e-11,5.11080536402715e-06
170.859501333764,2.68651430146876e-11,5.18315955906121e-06
