Frequency_Hz,Run_01_ASD_V_per_rtHz,Run_02_ASD_V_per_rtHz,Run_03_ASD_V_per_rtHz,Run_04_ASD_V_per_rtHz,Run_05_ASD_V_per_rtHz,Run_06_ASD_V_per_rtHz,Run_07_ASD_V_per_rtHz,Run_08_ASD_V_per_rtHz,Run_09_ASD_V_per_rtHz,Run_10_ASD_V_per_rtHz,Run_11_ASD_V_per_rtHz,Run_12_ASD_V_per_rtHz,Run_13_ASD_V_per_rtHz,Run_14_ASD_V_per_rtHz,Run_15_ASD_V_per_rtHz,Run_16_ASD_V_per_rtHz,Run_17_ASD_V_per_rtHz,Run_18_ASD_V_per_rtHz,Run_19_ASD_V_per_rtHz,Run_20_ASD_V_per_rtHz
1,6.04933948161099e-06,4.85785426946276e-06,4.56718788000632e-06,7.83231277697646e-06,6.68764376076274e-06,4.47943960211145e-06,7.14418965634021e-06,7.34963487036028e-06,7.41947669056039e-06,5.60791091530326e-06,1.0474613090661e-05,1.95454930851553e-05,3.84358045818043e-06,4.77477655715642e-06,5.27770168934471e-06,4.37330422415021e-06,9.00734833725917e-06,4.77688538137733e-06,4.03345466356094e-06,7.29805080201017e-06
1.0594630943593,6.30353562102801e-06,5.43917035597075e-06,4.37881526912811e-06,6.5783147220455e-06,6.23389093175672e-06,4.04839861630795e-06,5.87589909876244e-06,7.24517654499855e-06,7.57421552708403e-06,4.87819450270248e-06,9.6782158646925e-06,1.727282755193e-05,4.72130125253971e-06,4.90257036357648e-06,4.67754343132031e-06,4.14817452424311e-06,8.65083369232384e-06,4.43313777604419e-06,5.40814250736728e-06,6.89041366287799e-06
1.12246204830937,6.59215355688339e-06,6.05636987540517e-06,4.14446197580943e-06,4.6748968469314e-06,5.6490462927904e-06,3.46879273009364e-06,3.866899492535e-06,7.11937664455206e-06,7.75363008272874e-06,3.83757089424938e-06,8.63968115312827e-06,1.41127297093853e-05,5.58581417536499e-06,5.04985854658012e-06,3.84675599542356e-06,3.86437754713873e-06,8.20822397947078e-06,3.98749535008101e-06,6.68074851548411e-06,6.37356152944505e-06
1.18920711500272,5.3653491922932e-06,6.14438012372722e-06,3.44577758956434e-06,4.72692820518108e-06,4.44268256134418e-06,4.56269868346182e-06,4.8325554681636e-06,6.86438966878268e-06,7.06920207379153e-06,3.8847249364966e-06,6.71408625157358e-06,1.27022974581437e-05,5.21775857974192e-06,6.19010769642437e-06,5.3261430458671e-06,4.20265476906196e-06,6.56645593227409e-06,4.47408712276566e-06,7.71225979142219e-06,5.44500003193544e-06
1.25992104989487,3.98569309484036e-06,6.22075245736758e-06,2.6850433708259e-06,4.77221877502291e-06,3.00510359205519e-06,5.34273988103268e-06,5.54451417990123e-06,6.63204203266212e-06,6.40713472149565e-06,3.92572686370742e-06,4.36779818734488e-06,1.13175340512484e-05,4.87113975623673e-06,7.04193753919173e-06,6.34840763111618e-06,4.47909074636239e-06,4.66751399035728e-06,4.86194196774501e-06,8.51679912746308e-06,4.47175853672459e-06
1.33483985417003,5.20904018116519e-06,5.30991103595168e-06,3.985249474767e-06,6.12971356443257e-06,3.00529092431749e-06,5.83168566111442e-06,5.80852956409641e-06,7.50447600462833e-06,5.92918929121732e-06,3.63765323155746e-06,4.18385192125672e-06,7.04911716652391e-06,5.48643553383803e-06,6.1818979657533e-06,5.65216691252812e-06,6.97760701284484e-06,5.17089309600046e-06,3.3356289064713e-06,9.22422815146631e-06,4.92864768978436e-06
1.4142135623731,5.87031294849471e-06,4.84420805709483e-06,4.64819271490007e-06,6.58924538954804e-06,3.09205212659694e-06,6.14112579847214e-06,5.72266814991305e-06,7.18392777823638e-06,5.63944674106715e-06,4.9508352471453e-06,4.41468305399248e-06,5.56592575328763e-06,5.6755978606698e-06,6.08870628571867e-06,5.29513351702404e-06,7.45911029003001e-06,5.16579837515629e-06,3.14692237321078e-06,8.84455124742097e-06,5.13588219805754e-06
1.49830707687668,7.07623827950911e-06,4.035076028546e-06,5.82275542009042e-06,7.11872463927796e-06,3.37810959058448e-06,6.76820579005644e-06,5.1584138914073e-06,4.91172396730333e-06,5.03283229664885e-06,8.12001325552898e-06,5.27642180032942e-06,5.95118568063125e-06,5.82396334333838e-06,6.57379724471545e-06,4.67008899949698e-06,7.37813503650376e-06,4.69928087470119e-06,4.09663234028801e-06,6.55860983988565e-06,5.46325201660793e-06
1.5874010519682,5.66365139565182e-06,3.66039295129845e-06,6.24640314117549e-06,5.36883643482118e-06,3.95461871866068e-06,7.4351887276877e-06,6.15587038134744e-06,4.36068032579156e-06,5.81461310211974e-06,9.33897012455849e-06,5.99570695003885e-06,9.35570838586676e-06,4.86124555169374e-06,6.76647164494719e-06,5.3917662885367e-06,7.67084516365616e-06,5.34637282093699e-06,5.07006581097897e-06,5.75719749369403e-06,4.41971633521105e-06
1.68179283050743,4.64803951033795e-06,5.17141919816946e-06,5.63393003273712e-06,4.80912918933708e-06,5.48270042955363e-06,6.96479816828628e-06,7.35492375633836e-06,4.17229829236871e-06,5.84675893879635e-06,8.07592002796693e-06,6.81357156320594e-06,1.18105239668704e-05,4.84601954506222e-06,6.21174915857504e-06,6.06482145690607e-06,6.92175659619696e-06,5.1675242136237e-06,5.01557990835155e-06,5.8429027208668e-06,4.16513901165019e-06
