Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0630725917013492,0.000694715709567138,6.04933948161099e-06,0.000683262088685008,5.17627322524244e-06,4.92029070043715e-06,3.82591554941912e-06,-2.18510766022935,4,100002,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0629336581008959,0.000684743342684161,4.85785426946276e-06,0.000684319126892976,5.19090995640576e-06,4.93536316919477e-06,3.82532062508013e-06,-2.21302547430547,4,100002,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0629794519560691,0.000689847818581234,4.56718788000632e-06,0.000683265459518139,5.14857741978174e-06,4.92657099321955e-06,3.8259140215984e-06,-2.19619078831598,4,100002,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0626298243333293,0.000683994431542583,7.83231277697646e-06,0.000683916275605707,5.13139980995865e-06,4.93448432137036e-06,3.82506870170356e-06,-2.2120506703849,4,100002,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0627795925905005,0.000683527519647469,6.68764376076274e-06,0.000682838626577381,5.16297268715372e-06,4.91918154069338e-06,3.82198933319369e-06,-2.19206759392727,4,100002,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.061959921360809,0.000694798685700717,4.47943960211145e-06,0.000683268552064772,5.151662728668e-06,4.92691211154007e-06,3.81985683951786e-06,-2.21055456928127,4,100002,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0601980719157386,0.000696560347939913,7.14418965634021e-06,0.00068276415544062,5.17463247436209e-06,4.92154853194434e-06,3.82034687431662e-06,-2.19997949893894,4,100002,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0594335126643647,0.000695984393373856,7.34963487036028e-06,0.000681542172263788,5.13698579500031e-06,4.90695372676757e-06,3.81779488588299e-06,-2.17998741365436,4,100002,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0587215452080035,0.000687590568094089,7.41947669056039e-06,0.000681119762410997,5.13036702488901e-06,4.90161645627582e-06,3.8218727713521e-06,-2.161261998476,4,100002,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (10).tdms,1100002,50000,-10.33808,-0.0585909714879178,0.000682518531481758,5.60791091530326e-06,0.00068169621229797,5.14091998864707e-06,4.90907909705954e-06,3.82131833391115e-06,-2.17573623403394,4,100002,NaN,0,0,0,0
11,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (11).tdms,1100002,50000,-10.33808,-0.0595798060326036,0.000689048251440243,1.0474613090661e-05,0.000680293481476838,5.15456607787978e-06,4.90659304090417e-06,3.8113324800691e-06,-2.19406405209506,4,100002,NaN,0,0,0,0
12,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (12).tdms,1100002,50000,-10.33808,-0.0598269865643569,0.000682975605328578,1.95454930851553e-05,0.000680757296465122,5.1531651842022e-06,4.90568882058394e-06,3.81533255310889e-06,-2.18335196759339,4,100002,NaN,0,0,1,1
13,Unicorn_CSA_RevA-COB_wi_Shield_2026-08-28 (13).tdms,1100002,50000,-10.33808,-0.059978803085241,0.000687772710665586,3.84358045818043e-06,0.00068158381235081,5.16523042211996e-06,4.91594623510162e-06,3.8191446015582e-06,-2.19282044729662,4,100002,NaN,0,0,0,0
