Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
1,3.40453670222596e-11,5.8348407880815e-06
1.0594630943593,3.15643459450406e-11,5.61821554811139e-06
1.12246204830937,3.42900613765919e-11,5.85577162947736e-06
1.18920711500272,2.94727651974929e-11,5.42888249987904e-06
1.25992104989487,3.98600635835723e-11,6.31348268260651e-06
1.33483985417003,2.95184503302882e-11,5.43308847068481e-06
1.4142135623731,3.03031442027924e-11,5.50482917108173e-06
1.49830707687668,3.33107683527341e-11,5.77154817641975e-06
1.5874010519682,3.00600631747297e-11,5.48270582602512e-06
1.68179283050743,3.17345905749116e-11,5.63334630347821e-06
1.78179743628068,2.90626852102633e-11,5.39098184102518e-06
1.88774862536339,2.11797693355169e-11,4.60214833914737e-06
2,1.99548674355611e-11,4.46708713095694e-06
2.11892618871859,2.19098629614761e-11,4.68079725703604e-06
2.24492409661875,2.76431995218282e-11,5.25768005129907e-06
2.37841423000544,2.94093199048045e-11,5.42303604125996e-06
2.51984209978975,2.85092972936311e-11,5.3394098263414e-06
2.66967970834007,2.39148960577734e-11,4.89028588712085e-06
2.82842712474619,1.96476192168341e-11,4.43256350398211e-06
2.99661415375336,2.47133381333668e-11,4.97125116377827e-06
3.1748021039364,2.46236293631581e-11,4.96222020502497e-06
3.36358566101486,2.39515027460983e-11,4.89402725228399e-06
3.56359487256136,2.43466566997325e-11,4.93423314201229e-06
3.77549725072677,2.32225524801372e-11,4.81897836477164e-06
4,2.22239823599328e-11,4.71423189501034e-06
4.23785237743718,2.34527783729708e-11,4.84280686926196e-06
4.48984819323749,3.04217600575371e-11,5.51559244846255e-06
4.75682846001088,2.00832374737982e-11,4.48143252474007e-06
5.03968419957949,2.93558059239115e-11,5.41809984440223e-06
5.33935941668014,2.56683783513665e-11,5.06639697925128e-06
5.65685424949238,2.2984658233635e-11,4.79423176678339e-06
5.99322830750673,2.91822937695254e-11,5.40206384352549e-06
6.3496042078728,2.5784318695593e-11,5.07782617815862e-06
6.72717132202972,1.9892419468357e-11,4.46009186770373e-06
