Metric,Current1p2_Value,NominalCurrent_Value,Unit,Change_Percent,Current1p2_vs_Nominal_dB,Repeatability95_Low_Percent,Repeatability95_High_Percent,Repeatability95_Low_dB,Repeatability95_High_dB
"ASD centered at 1 Hz",5.8348407880815e-06,6.96798589040697e-06,V/sqrt(Hz),-16.2621612636372,-1.54156504777907,-35.2371495308146,8.27234418246399,-3.77348088960419,0.690350794046058
"ASD centered at 10 Hz",5.03302559891166e-06,5.11301151293163e-06,V/sqrt(Hz),-1.5643601391796,-0.136952626390578,-11.6338352634876,9.65254884266189,-1.07427987646063,0.800374623679471
"ASD centered at 1 kHz",4.83947200955018e-06,5.08891172883379e-06,V/sqrt(Hz),-4.90163187288725,-0.436538708459033,-6.03542906857426,-3.75415403067361,-0.540717300210692,-0.332360116707383
"Band RMS-ASD, 1 Hz-10 Hz",5.02044167021462e-06,5.415534620723e-06,V/sqrt(Hz),-7.29554842095412,-0.657988218987702,-10.5715327243771,-3.89955676994697,-0.970484252100186,-0.345492185875223
"Band RMS-ASD, 10 Hz-100 Hz",5.42114573412538e-06,6.64792568343282e-06,V/sqrt(Hz),-18.4535749604524,-1.77190146982036,-19.4568254779305,-17.4378278955412,-1.87942514288375,-1.66437779675697
"Band RMS-ASD, 100 Hz-1 kHz",4.87276088015591e-06,5.14880998058611e-06,V/sqrt(Hz),-5.3614155789601,-0.478635287874899,-5.6767146368902,-5.04506255545251,-0.507621615803719,-0.44964895994608
"Integrated noise, 1 Hz-1 kHz",0.000155696037660249,0.000167632676891917,Vrms,-7.12071145852063,-0.641622399345943,-7.41043101008266,-6.83008535323472,-0.668758751304948,-0.614486047386935
"Integrated noise, 1 Hz-25 kHz",0.000701770944758372,0.000680520884930075,Vrms,3.12261685113162,0.267078503816655,3.00335308205573,3.24201871131022,0.257027251643555,0.277129755989752
"Peak ASD near 50 Hz",6.56659363659539e-05,0.00012339464170227,V/sqrt(Hz),-46.7838023920077,-5.47912319579099,NaN,NaN,NaN,NaN
"Integrated 50 Hz spur, 49.5 Hz-50.5 Hz",2.28782243320759e-05,3.99601845493828e-05,Vrms,-42.7474507686444,-4.84410342256929,-44.5003649456441,-40.9391721174654,-5.11419745264577,-4.57400939249281
"Peak ASD near 150 Hz",2.46627200276032e-05,2.40871503600859e-05,V/sqrt(Hz),2.38952993157335,0.205110983299861,NaN,NaN,NaN,NaN
"Integrated 150 Hz spur, 149.5 Hz-150.5 Hz",1.0521597646625e-05,1.10175705929918e-05,Vrms,-4.50165435456621,-0.400083036028195,-9.90380337855412,1.22440639013501,-0.905870844388315,0.105704772331928
