Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0499184208061582,0.00072427723605723,5.62770178698306e-06,0.000702035902857379,4.85977477402684e-06,4.72936801810419e-06,4.22344895112217e-06,-0.98271721883623,1,0,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0489397768707758,0.000703054602320041,2.26351126879012e-06,0.000701315726414447,4.90526481322095e-06,4.72186515704066e-06,4.21601174629754e-06,-0.984235370219514,1,0,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0491193359674826,0.00070203244334715,9.15585828015457e-06,0.000701818894604464,4.85928711042518e-06,4.72970726513162e-06,4.22041002737847e-06,-0.98959231294399,1,0,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0503799436834245,0.00070590958094719,6.04746510110464e-06,0.00070204689922089,4.88519064999973e-06,4.73225743778642e-06,4.21834314516494e-06,-0.998529151016385,1,0,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0507010613166512,0.000709504177297835,4.44975151765858e-06,0.000702148997039854,4.85663531904846e-06,4.72468451235703e-06,4.22707530176486e-06,-0.966656592084867,1,0,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.0514120891883149,0.000714463537984345,7.54697998180206e-06,0.000702892111262099,4.87758351575631e-06,4.73846955586646e-06,4.22367102054071e-06,-0.998960215933563,1,0,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0499378090256261,0.000712319412254216,4.60821525542005e-06,0.000702203791435789,4.87475713016001e-06,4.72627451238418e-06,4.22594320976513e-06,-0.971905726095348,1,0,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0496234058658369,0.000705339927544987,2.74705633441645e-06,0.000703032609445845,4.88380527789898e-06,4.72870159858613e-06,4.23190110163102e-06,-0.964127984544986,1,0,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0498074235477095,0.000701885378388264,4.53551629294877e-06,0.000701844021821311,4.85665348121557e-06,4.73409620125739e-06,4.21712845331954e-06,-1.00440498337227,1,0,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (10).tdms,1100002,50000,-10.33808,-0.0498696598656261,0.000706745838935055,1.21528944907176e-05,0.000701919249408798,4.8506328548822e-06,4.71815695893885e-06,4.22852682023049e-06,-0.951665898692408,1,0,NaN,0,0,1,1
11,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (11).tdms,1100002,50000,-10.33808,-0.050299509590754,0.00070179653974954,2.63193677038321e-06,0.00070048902273893,4.8676644280561e-06,4.7150906608456e-06,4.21426932836085e-06,-0.97535520680635,1,0,NaN,0,0,0,0
12,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (12).tdms,1100002,50000,-10.33808,-0.0496742032672927,0.000741663571576881,6.1224808133721e-06,0.000701859513570367,4.80164042980854e-06,4.72521595729595e-06,4.22700133503568e-06,-0.967785538681843,1,0,NaN,0,1,0,1
13,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (13).tdms,1100002,50000,-10.33808,-0.0479465318295646,0.000711231986306389,4.89956964628643e-06,0.00070147576078899,4.8589788200229e-06,4.7109689670271e-06,4.22871801626612e-06,-0.93803034683984,1,0,NaN,0,0,0,0
14,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (14).tdms,1100002,50000,-10.33808,-0.0471918176113046,0.000701544119068351,4.36208092433267e-06,0.000700744593225381,4.90141619093303e-06,4.71215259509043e-06,4.21752408010822e-06,-0.963235500207827,1,0,NaN,0,0,0,0
15,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (15).tdms,1100002,50000,-10.33808,-0.0476209687830011,0.000703667739821598,5.15649066453042e-06,0.000700552727221876,4.84952701415602e-06,4.71434395685245e-06,4.21716514655705e-06,-0.96801313501604,1,0,NaN,0,0,0,0
16,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (16).tdms,1100002,50000,-10.33808,-0.0480217223922459,0.000702630841587671,4.08832967969888e-06,0.000701341046976404,4.88867541886726e-06,4.72390277157465e-06,4.21690960894133e-06,-0.986133168792304,1,0,NaN,0,0,0,0
17,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (17).tdms,1100002,50000,-10.33808,-0.0489985416134837,0.000716726003073786,4.03047551695821e-06,0.000702251391238696,4.92754844990286e-06,4.7270645356488e-06,4.2221900050786e-06,-0.981075163181991,1,0,NaN,0,0,0,0
18,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (18).tdms,1100002,50000,-10.33808,-0.0496650550378523,0.000713043351083677,6.15464151399202e-06,0.000702610041397828,4.84830991736736e-06,4.74748939248599e-06,4.21529827118993e-06,-1.03271385327716,1,0,NaN,0,0,0,0
19,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (19).tdms,1100002,50000,-10.33808,-0.0505437274484687,0.000711209826403667,5.28718806159483e-06,0.000700598840613559,4.88637238330615e-06,4.72923044032343e-06,4.20395590521543e-06,-1.02264648397639,1,0,NaN,0,0,0,0
20,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (20).tdms,1100002,50000,-10.33808,-0.051342514183565,0.000702922098322483,6.08936836576949e-06,0.000702219349670241,4.90664709249282e-06,4.7294402165451e-06,4.22098819611485e-06,-0.987912047749172,1,0,NaN,0,0,0,0
