Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
1,3.06753181389661e-11,5.53853032301585e-06
1.0594630943593,3.06625038735844e-11,5.53737337314221e-06
1.12246204830937,3.06473150343158e-11,5.53600171913952e-06
1.18920711500272,3.1936510362181e-11,5.65123971905112e-06
1.25992104989487,3.3070303402443e-11,5.7506785167007e-06
1.33483985417003,3.62058522141066e-11,6.01712989839065e-06
1.4142135623731,3.67580809694108e-11,6.062844296979e-06
1.49830707687668,3.58940931731736e-11,5.99116793064371e-06
1.5874010519682,3.1096540788078e-11,5.57642724224731e-06
1.68179283050743,2.96390268105889e-11,5.444173657277e-06
1.78179743628068,2.87945339140402e-11,5.3660538493422e-06
1.88774862536339,2.58000261154754e-11,5.07937261041906e-06
2,2.13832329298304e-11,4.62420078822605e-06
2.11892618871859,2.38388363883109e-11,4.88250308635958e-06
2.24492409661875,3.17397973976666e-11,5.63380842749082e-06
2.37841423000544,2.82432584092318e-11,5.31443867301447e-06
2.51984209978975,2.54443845719865e-11,5.04424271541195e-06
2.66967970834007,2.50354401224711e-11,5.0035427571343e-06
2.82842712474619,2.28366306637605e-11,4.77876873930519e-06
2.99661415375336,2.31642681469346e-11,4.8129271911109e-06
3.1748021039364,2.45077948399365e-11,4.95053480342644e-06
3.36358566101486,2.50544140833225e-11,5.0054384506577e-06
3.56359487256136,2.53749254246303e-11,5.03735301767012e-06
3.77549725072677,2.23487382125968e-11,4.72744520989897e-06
4,2.37163663149222e-11,4.86994520656261e-06
4.23785237743718,2.33545295952173e-11,4.83265243890116e-06
4.48984819323749,2.64830192990545e-11,5.14616549472076e-06
4.75682846001088,2.29261054754896e-11,4.78812128871957e-06
5.03968419957949,2.76669427915784e-11,5.25993752734558e-06
5.33935941668014,2.62363059249201e-11,5.12213880375377e-06
5.65685424949238,2.47028797371791e-11,4.97019916473969e-06
5.99322830750673,2.7955619395095e-11,5.28730738609881e-06
6.3496042078728,2.48742845475533e-11,4.98741261051793e-06
6.72717132202972,2.16883515722318e-11,4.65707543123705e-06
7.12718974512272,2.39367945215576e-11,4.89252435063512e-06
7.55099450145355,2.33632329551514e-11,4.83355282945697e-06
8,2.48684220587662e-11,4.98682484741204e-06
8.47570475487436,2.60748936263733e-11,5.10635815688376e-06
8.97969638647498,2.53432652215275e-11,5.03420949321018e-06
9.51365692002177,2.41699494829018e-11,4.91629428359428e-06
10.079368399159,2.51041251474498e-11,5.01040169521863e-06
10.6787188333603,2.48788396156891e-11,4.98786924604977e-06
11.3137084989848,2.33693376382172e-11,4.83418427847111e-06
11.9864566150135,2.2475162212718e-11,4.74079763465158e-06
12.6992084157456,2.58158377857584e-11,5.08092883100702e-06
13.4543426440594,2.06856890508276e-11,4.54815226777068e-06
14.2543794902454,2.26313951813558e-11,4.75724659665187e-06
15.1019890029071,2.35133215022181e-11,4.84905367079166e-06
16,2.36767431025929e-11,4.86587536858405e-06
16.9514095097487,2.4495093918286e-11,4.94925185440042e-06
17.95939277295,2.31938104552577e-11,4.8159952715153e-06
19.0273138400435,2.31614799611905e-11,4.81263752647034e-06
20.158736798318,2.49425254932425e-11,4.99424924220273e-06
21.3574376667206,2.18826388238673e-11,4.67788828680927e-06
22.6274169979695,2.19801469109593e-11,4.68829893575051e-06
23.9729132300269,2.32292387969155e-11,4.81967206321296e-06
25.3984168314912,2.4079687249076e-11,4.90710579151051e-06
26.9086852881189,2.48543820099276e-11,4.98541693441257e-06
28.5087589804909,2.33718325136566e-11,4.83444231671623e-06
30.2039780058142,2.35867552025214e-11,4.85661973007167e-06
32,2.4481377443881e-11,4.94786594845505e-06
33.9028190194974,2.23838065438723e-11,4.7311527711407e-06
35.9187855458999,2.46878167902247e-11,4.96868360737778e-06
38.0546276800871,2.25601635415805e-11,4.74975405064099e-06
40.3174735966359,2.33564804667577e-11,4.83285427741803e-06
42.7148753334411,2.22321046097854e-11,4.71509327689128e-06
45.254833995939,2.3698372022017e-11,4.86809737187097e-06
47.9458264600538,2.49177908520773e-11,4.99177231572889e-06
50.7968336629824,1.95927562774297e-10,1.39974127171523e-05
53.8173705762377,2.45387134302946e-11,4.95365657169475e-06
57.0175179609817,2.3423911861761e-11,4.83982560241183e-06
60.4079560116284,2.26600744188525e-11,4.76025991085072e-06
64,2.40619700583854e-11,4.90530020063863e-06
67.8056380389949,2.31281081565094e-11,4.8091691752848e-06
71.8375710917999,2.37262152645163e-11,4.87095629876888e-06
76.1092553601741,2.34980463731725e-11,4.84747835200659e-06
80.6349471932719,2.33999746287172e-11,4.83735202654481e-06
85.4297506668822,2.38431453181924e-11,4.88294432880331e-06
90.5096679918781,2.41719205532202e-11,4.91649474251933e-06
95.8916529201076,2.36752255512021e-11,4.8657194279163e-06
101.593667325965,3.29029662459775e-11,5.73611072469644e-06
107.634741152475,2.32867813182509e-11,4.82563791827059e-06
114.035035921963,2.29746931317383e-11,4.79319237374615e-06
120.815912023257,2.3294729360379e-11,4.82646137044305e-06
128,2.31856067904275e-11,4.81514348596462e-06
135.61127607799,2.33668445741545e-11,4.83392641381253e-06
143.6751421836,2.39704001514679e-11,4.89595753162421e-06
152.218510720348,3.35941658201204e-11,5.7960474308032e-06
161.269894386544,2.3330481968449e-11,4.8301637620736e-06
170.859501333764,2.30636100070066e-11,4.80245874599736e-06
181.019335983756,2.32344841672653e-11,4.8202161950752e-06
191.783305840215,2.38924945888397e-11,4.8879949456643e-06
203.18733465193,2.43845780641982e-11,4.93807432752872e-06
215.269482304951,2.29743303051242e-11,4.79315452547946e-06
228.070071843927,2.30559752263177e-11,4.80166379771821e-06
241.631824046514,2.31282422565272e-11,4.80918311738357e-06
256,2.49826451525232e-11,4.998264213957e-06
271.22255215598,2.34705204171389e-11,4.8446383164421e-06
287.350284367199,2.40640792234373e-11,4.90551518430402e-06
304.437021440697,2.40448196831406e-11,4.90355174166039e-06
322.539788773088,2.43952736482021e-11,4.93915717994498e-06
341.719002667529,2.45615095929141e-11,4.95595698053505e-06
362.038671967512,2.35789559110688e-11,4.85581670896553e-06
383.566611680431,2.33372734220231e-11,4.83086673610679e-06
406.374669303859,2.32027907113305e-11,4.81692751775761e-06
430.538964609902,2.35643471157565e-11,4.85431221861104e-06
456.140143687854,2.40693462635023e-11,4.9060520037503e-06
483.263648093027,2.38014992023823e-11,4.87867801790426e-06
512,2.39260008645355e-11,4.89142114978208e-06
542.445104311959,2.31443757102362e-11,4.81086018402491e-06
574.700568734399,2.3496116541889e-11,4.8472792927465e-06
608.874042881393,2.33818320890125e-11,4.83547640765753e-06
645.079577546175,2.41481319176326e-11,4.91407487912349e-06
683.438005335057,2.33028017315976e-11,4.82729755987732e-06
724.077343935025,2.33483937428652e-11,4.83201756442019e-06
767.133223360861,2.35958453746587e-11,4.85755549372919e-06
812.749338607718,2.33511222550225e-11,4.83229989291046e-06
861.077929219804,2.38110871179316e-11,4.87966055355612e-06
912.280287375708,2.3739572002384e-11,4.87232716495763e-06
966.527296186054,2.35956412650358e-11,4.85753448418391e-06
1024,2.35484196161938e-11,4.85267138967743e-06
1084.89020862392,2.31494376201885e-11,4.81138624724605e-06
1149.4011374688,2.41675808312294e-11,4.91605337961554e-06
1217.74808576279,2.36660096069333e-11,4.8647723078201e-06
1290.15915509235,2.3352190074133e-11,4.83241037931724e-06
1366.87601067011,2.33625721075329e-11,4.83348446853126e-06
1448.15468787005,2.38475943487681e-11,4.88339987598478e-06
1534.26644672172,2.37613580207108e-11,4.8745623414529e-06
1625.49867721544,2.3394871021748e-11,4.83682447704566e-06
1722.15585843961,2.33613634261575e-11,4.83335943481938e-06
1824.56057475142,2.35790524424094e-11,4.85582664871898e-06
1933.05459237211,2.34842907620192e-11,4.84605930236303e-06
2048,2.32636376161513e-11,4.82323932810215e-06
2169.78041724784,2.34492763809983e-11,4.84244528941714e-06
2298.8022749376,2.30935259546039e-11,4.80557238574178e-06
2435.49617152557,2.34512025520934e-11,4.84264416946913e-06
2580.3183101847,2.3347999433126e-11,4.83197676247786e-06
2733.75202134023,3.515351084914e-11,5.92903962283437e-06
2896.3093757401,2.42723451901209e-11,4.9266971887991e-06
3068.53289344344,3.0819307859404e-11,5.55151401505968e-06
3250.99735443087,2.32351400778665e-11,4.8202842320621e-06
3444.31171687922,2.29452230070917e-11,4.79011722268795e-06
3649.12114950283,2.29617947309537e-11,4.79184669318142e-06
3866.10918474421,2.2823894022486e-11,4.77743592552386e-06
4096,2.2781273054493e-11,4.77297318811797e-06
4339.56083449568,2.28671271288033e-11,4.78195850345895e-06
4597.60454987519,2.2621609892642e-11,4.75621802408616e-06
4870.99234305115,2.22985126460415e-11,4.72213009626392e-06
5160.6366203694,2.21562800188611e-11,4.70704578465741e-06
5467.50404268046,2.19852196930253e-11,4.68883990908469e-06
5792.6187514802,2.19010724736771e-11,4.67985816811547e-06
6137.06578688689,2.18176963926982e-11,4.67094170298647e-06
6501.99470886174,2.16498908449632e-11,4.65294431999386e-06
6888.62343375843,2.11962712775265e-11,4.60394084209675e-06
7298.24229900566,2.10982926669413e-11,4.59328778403241e-06
7732.21836948843,2.08413878299892e-11,4.56523688651412e-06
8192,2.08719688472127e-11,4.56858499397928e-06
8679.12166899135,2.02772432954257e-11,4.50302601540628e-06
9195.20909975038,2.00592154750679e-11,4.47875155317505e-06
9741.98468610229,2.00904574120056e-11,4.48223799145087e-06
10321.2732407388,1.94882054170704e-11,4.41454475762455e-06
10935.0080853609,1.92022123476622e-11,4.38203290125282e-06
11585.2375029604,1.88599210522429e-11,4.3428010606339e-06
12274.1315737738,1.87614958203678e-11,4.33145423851711e-06
13003.9894177235,1.84465189659542e-11,4.29494108992827e-06
13777.2468675169,1.83589338283378e-11,4.28473264374078e-06
14596.4845980113,1.82858154071718e-11,4.27619169439021e-06
15464.4367389769,1.84439007624879e-11,4.29463627825313e-06
16384,1.86822018961011e-11,4.32229127848888e-06
17358.2433379827,1.90864563486321e-11,4.36880491080021e-06
18390.4181995008,1.95499966787901e-11,4.42153781831503e-06
19483.9693722046,2.41503861685036e-11,4.91430424053127e-06
20642.5464814776,2.05895685097222e-11,4.53757297569111e-06
21870.0161707218,1.83863252873149e-11,4.28792785472364e-06
23170.4750059208,1.22731146156096e-11,3.50330053172856e-06
