Metric,Current1p2_Value,NominalCurrent_Value,Unit,Change_Percent,Current1p2_vs_Nominal_dB,Repeatability95_Low_Percent,Repeatability95_High_Percent,Repeatability95_Low_dB,Repeatability95_High_dB
"ASD centered at 1 Hz",5.53853032301585e-06,7.32706505203086e-06,V/sqrt(Hz),-24.4099747486106,-2.43071019158648,-41.1468225916431,-2.9134505710757,-4.60460170359356,-0.256818679579406
"ASD centered at 10 Hz",5.03697100984307e-06,5.11283112667667e-06,V/sqrt(Hz),-1.48372036850166,-0.129839944376684,-10.6137193774008,8.5788253502717,-0.974582668181285,0.714902779427917
"ASD centered at 1 kHz",4.844458373205e-06,5.11361602910831e-06,V/sqrt(Hz),-5.26354842387824,-0.469657722490607,-6.21808073377026,-4.2993006812274,-0.557617671609912,-0.381697773371307
"Band RMS-ASD, 1 Hz-10 Hz",5.04955480073567e-06,5.56189423108602e-06,V/sqrt(Hz),-9.21159966485576,-0.839392719500416,-14.7669105048887,-3.29420552229084,-1.38783538277052,-0.290950056230308
"Band RMS-ASD, 10 Hz-100 Hz",5.43569567203875e-06,6.63396089856974e-06,V/sqrt(Hz),-18.062591035008,-1.7303554696048,-19.0177708742442,-17.096144915069,-1.83220545930688,-1.62850547990273
"Band RMS-ASD, 100 Hz-1 kHz",4.87398622762546e-06,5.15038876077302e-06,V/sqrt(Hz),-5.36663436462752,-0.479114279044482,-5.63008381237573,-5.10244945356303,-0.503328613190152,-0.454899944898814
"Integrated noise, 1 Hz-1 kHz",0.000155784660589729,0.000167669661249927,Vrms,-7.08834297844875,-0.638595889656261,-7.3634450953899,-6.81242389271128,-0.664352089115644,-0.612839690196869
"Integrated noise, 1 Hz-25 kHz",0.000701766752133844,0.000680542035257133,Vrms,3.11879586816286,0.266756661215387,3.00503731408188,3.23268005696002,0.257169275504585,0.27634404692619
"Peak ASD near 50 Hz",5.23580760176784e-05,9.27970790131701e-05,V/sqrt(Hz),-43.5778835126399,-4.97101253534601,NaN,NaN,NaN,NaN
"Integrated 50 Hz spur, 49.5 Hz-50.5 Hz",2.30010552170838e-05,3.9940101169451e-05,Vrms,-42.4111242996134,-4.79322800116237,-44.0081469710603,-40.7685506903936,-5.03750318915138,-4.54895281317337
"Peak ASD near 150 Hz",1.6213846412927e-05,1.82722583518757e-05,V/sqrt(Hz),-11.2652300515302,-1.03812344600575,NaN,NaN,NaN,NaN
"Integrated 150 Hz spur, 149.5 Hz-150.5 Hz",1.03936590808429e-05,1.08961688020515e-05,Vrms,-4.61180191255828,-0.410107101843398,-9.64855110661256,0.705726867817225,-0.881297572330462,0.0610833686436686
