Frequency_Hz,Run_01_ASD_V_per_rtHz,Run_02_ASD_V_per_rtHz,Run_03_ASD_V_per_rtHz,Run_04_ASD_V_per_rtHz,Run_05_ASD_V_per_rtHz,Run_06_ASD_V_per_rtHz,Run_07_ASD_V_per_rtHz,Run_08_ASD_V_per_rtHz,Run_09_ASD_V_per_rtHz,Run_10_ASD_V_per_rtHz,Run_11_ASD_V_per_rtHz,Run_12_ASD_V_per_rtHz,Run_13_ASD_V_per_rtHz,Run_14_ASD_V_per_rtHz,Run_15_ASD_V_per_rtHz,Run_16_ASD_V_per_rtHz,Run_17_ASD_V_per_rtHz,Run_18_ASD_V_per_rtHz,Run_19_ASD_V_per_rtHz,Run_20_ASD_V_per_rtHz
1,6.80086135916356e-06,4.22639508657809e-06,6.98963000431807e-06,4.28086074728005e-06,4.72036706015143e-06,5.48505256644175e-06,4.37059429857759e-06,2.94228642885126e-06,5.03976815965224e-06,9.15176228543849e-06,3.6789184359494e-06,7.50432123518016e-06,4.48424316968415e-06,3.81253733580398e-06,5.17804702526671e-06,4.74132464501675e-06,4.70319719359358e-06,6.96851316429733e-06,6.32451589066878e-06,5.33530523645228e-06
1.0594630943593,7.1867344759732e-06,4.67602408927643e-06,6.52672021619081e-06,4.9195270178054e-06,5.23032638988242e-06,4.97032620941329e-06,4.09813406564257e-06,3.82183161697727e-06,4.9653572073984e-06,9.69269086562317e-06,4.49100598179022e-06,6.91531561418073e-06,4.29990357804165e-06,3.86910774231211e-06,4.84926571133783e-06,4.48253119098643e-06,4.84306256494091e-06,6.5066617424879e-06,6.01319878371883e-06,4.8849258175231e-06
1.12246204830937,7.61884327619043e-06,5.15846213820142e-06,5.93142371719705e-06,5.58270396184976e-06,5.77677196556383e-06,4.2807971417471e-06,3.74963133344662e-06,4.65383717998907e-06,4.87568680983559e-06,1.02971203578141e-05,5.29464675269925e-06,6.14446777172138e-06,4.07060724269605e-06,3.93510792635389e-06,4.42805440827371e-06,4.15495737457285e-06,5.00378522001469e-06,5.91268589696327e-06,5.62190931607166e-06,4.29028594542135e-06
1.18920711500272,6.36333446357805e-06,4.66722986962733e-06,5.86564607868744e-06,7.0417150667905e-06,5.76016069145151e-06,5.08018968490422e-06,4.25508878582532e-06,6.2186386310432e-06,5.80885422024721e-06,9.9765622117029e-06,5.50348189071269e-06,4.94960497260711e-06,3.70606240191251e-06,4.90643165616808e-06,3.64694915825198e-06,4.91392966270913e-06,5.34093644117607e-06,5.11937321463435e-06,5.97512693503634e-06,4.79024470746134e-06
1.25992104989487,5.00533354560342e-06,4.187858376099e-06,5.80718169001533e-06,8.11077270369691e-06,5.74551208377127e-06,5.69116872748695e-06,4.6544717505723e-06,7.32351813477026e-06,6.52007608688588e-06,9.68588094513927e-06,5.68080238668142e-06,3.58337658053282e-06,3.35286204231218e-06,5.62368684643799e-06,2.78444266258627e-06,5.49545661800511e-06,5.62075784119633e-06,4.30245030389146e-06,6.26934172011265e-06,5.19028778866011e-06
1.33483985417003,4.07770600538537e-06,2.84079897253345e-06,4.7785256349473e-06,6.32574720109626e-06,5.55403188435038e-06,6.67576226418091e-06,3.82567362185871e-06,6.48427178879675e-06,6.77318630937207e-06,9.64610797977253e-06,7.26712212473084e-06,7.9089596684714e-06,3.83512043722205e-06,7.99733362468985e-06,2.71932632487238e-06,6.26534853218348e-06,6.06395490068157e-06,6.42017976690663e-06,5.26870631966307e-06,4.37317948063064e-06
1.4142135623731,3.69420544217869e-06,2.71886660273191e-06,4.65117590493929e-06,6.036967998617e-06,6.15270588622442e-06,6.69955878521366e-06,3.79526490774015e-06,6.05718329336395e-06,6.80466895552229e-06,9.1889813484132e-06,7.07749677186156e-06,8.50661308492162e-06,4.83346533953406e-06,8.59020022845732e-06,2.48546485055206e-06,5.95714834487554e-06,6.2766685787717e-06,6.77410600872955e-06,5.08077215352967e-06,4.37009121683988e-06
1.49830707687668,3.27564153463298e-06,3.66950110863334e-06,5.20993373998552e-06,6.8509593241141e-06,8.0199531002546e-06,5.92757818147054e-06,4.45673637353569e-06,5.31758272066704e-06,6.69316167751322e-06,7.41507639654839e-06,4.71662479984664e-06,7.89687277984047e-06,7.11089263643782e-06,8.90927098400237e-06,1.49544361562779e-06,3.77145553332887e-06,6.63068335968915e-06,6.47911064663471e-06,5.41338671263793e-06,5.09647758313983e-06
1.5874010519682,4.91850810054843e-06,4.11224075225125e-06,5.63399912065352e-06,7.88637336687089e-06,6.05044863706793e-06,4.8912885036776e-06,4.97690633727819e-06,4.77838436067366e-06,5.25525509817788e-06,6.51274227073026e-06,6.77251494828037e-06,7.32484722181367e-06,4.72063561109863e-06,6.13041162452701e-06,3.65736661849121e-06,4.70869981565584e-06,5.71970963131263e-06,5.15919709254702e-06,6.03981896101746e-06,4.2398527995434e-06
1.68179283050743,5.85431707231737e-06,3.97285238033758e-06,5.09432615452861e-06,6.53342849487171e-06,5.10339988089733e-06,5.30541518566043e-06,4.69257695028406e-06,4.89705387738207e-06,5.18701082173883e-06,5.96871424184446e-06,7.02573272548326e-06,6.93871439689781e-06,3.55709017622282e-06,5.07612355489253e-06,5.73866716583667e-06,5.89132645551003e-06,4.8888118353605e-06,5.66077843297344e-06,5.71319955031158e-06,4.38289499733763e-06
