Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0499184208061582,0.00072427723605723,6.80086135916356e-06,0.000702518983044099,4.87220666323835e-06,4.72992834237659e-06,4.22737011244522e-06,-0.975685773745271,4,100002,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0489397768707758,0.000703054602320041,4.22639508657809e-06,0.000701467070506658,4.90343565414691e-06,4.7237098750771e-06,4.21586585878838e-06,-0.987928638466045,4,100002,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0491193359674826,0.00070203244334715,6.98963000431807e-06,0.000701866254016171,4.85705453133467e-06,4.73167562908349e-06,4.21930769614493e-06,-0.995475339395808,4,100002,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0503799436834245,0.00070590958094719,4.28086074728005e-06,0.000702282402989335,4.87872928592406e-06,4.7372946379668e-06,4.21797893005119e-06,-1.00851981399526,4,100002,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0507010613166512,0.000709504177297835,4.72036706015143e-06,0.000701954583160408,4.86451440563996e-06,4.72547046255501e-06,4.22401422187403e-06,-0.97439362224549,4,100002,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.0514120891883149,0.000714463537984345,5.48505256644175e-06,0.000702513225509898,4.86660634332464e-06,4.73783114562831e-06,4.22107107606423e-06,-1.00313827091876,4,100002,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0499378090256261,0.000712319412254216,4.37059429857759e-06,0.000702464145032443,4.87154293768807e-06,4.72701837547402e-06,4.2282874669757e-06,-0.968455693965929,4,100002,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0496234058658369,0.000705339927544987,2.94228642885126e-06,0.000702697615419199,4.89538523414836e-06,4.7275256103059e-06,4.22788870574135e-06,-0.970206874558255,4,100002,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0498074235477095,0.000701885378388264,5.03976815965224e-06,0.000702205239507185,4.85185054797998e-06,4.73729493641997e-06,4.21932724408902e-06,-1.00574428392283,4,100002,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (10).tdms,1100002,50000,-10.33808,-0.0498696598656261,0.000706745838935055,9.15176228543849e-06,0.000701365357220882,4.8676476504989e-06,4.7125169976251e-06,4.22460696647387e-06,-0.949332376275265,4,100002,NaN,0,0,1,1
11,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (11).tdms,1100002,50000,-10.33808,-0.050299509590754,0.00070179653974954,3.6789184359494e-06,0.000700543808877322,4.88259823990112e-06,4.71678948309761e-06,4.21283546323098e-06,-0.981439917674106,4,100002,NaN,0,0,0,0
12,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (12).tdms,1100002,50000,-10.33808,-0.0496742032672927,0.000741663571576881,7.50432123518016e-06,0.000701985315444963,4.82999534827426e-06,4.72609084517309e-06,4.22567955842155e-06,-0.972110096938875,4,100002,NaN,0,1,0,1
13,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (13).tdms,1100002,50000,-10.33808,-0.0479465318295646,0.000711231986306389,4.48424316968415e-06,0.000701360329990439,4.84993068503946e-06,4.71272604333085e-06,4.22590609333858e-06,-0.947047046664084,4,100002,NaN,0,0,0,0
14,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (14).tdms,1100002,50000,-10.33808,-0.0471918176113046,0.000701544119068351,3.81253733580398e-06,0.00070077166336215,4.89414737427733e-06,4.71236693475211e-06,4.21744691772393e-06,-0.963789498087225,4,100002,NaN,0,0,0,0
15,Unicorn_CSA_RevA-COB_wo_Shield_1p2_2026-08-28 (15).tdms,1100002,50000,-10.33808,-0.0476209687830011,0.000703667739821598,5.17804702526671e-06,0.000700886615221075,4.83865855762095e-06,4.71657973672568e-06,4.21976723068378e-06,-0.966773712666549,4,100002,NaN,0,0,0,0
