Frequency_Hz,Average_PSD_V2_per_Hz,Average_ASD_V_per_rtHz
1,4.85528273689106e-11,6.96798589040697e-06
1.0594630943593,3.84477123409751e-11,6.20062193178839e-06
1.12246204830937,5.33777283567581e-11,7.30600632060759e-06
1.18920711500272,3.94224287835928e-11,6.27872827757284e-06
1.25992104989487,4.27739740291328e-11,6.54018149817975e-06
1.33483985417003,5.57818372801595e-11,7.46872393921207e-06
1.4142135623731,3.6779996957434e-11,6.06465142917827e-06
1.49830707687668,3.73819780869539e-11,6.11408031407454e-06
1.5874010519682,3.51099904920802e-11,5.92536838450406e-06
1.68179283050743,2.90764187497968e-11,5.39225544181623e-06
1.78179743628068,3.27189312042235e-11,5.72004643374715e-06
1.88774862536339,2.94922011191188e-11,5.43067225296453e-06
2,3.85548962713768e-11,6.20925891482846e-06
2.11892618871859,2.95051078925052e-11,5.43186044486649e-06
2.24492409661875,2.80158213903901e-11,5.29299739187448e-06
2.37841423000544,2.59159648002442e-11,5.09077251507511e-06
2.51984209978975,2.94038663564844e-11,5.42253320473784e-06
2.66967970834007,3.0376691673568e-11,5.51150539086809e-06
2.82842712474619,2.95945755965287e-11,5.44008966805959e-06
2.99661415375336,2.6088218782191e-11,5.10766275141488e-06
3.1748021039364,3.31226640155812e-11,5.75522927567454e-06
3.36358566101486,2.75404059985382e-11,5.24789538753758e-06
3.56359487256136,3.01962822062335e-11,5.49511439428093e-06
3.77549725072677,2.55162164314993e-11,5.05135787996646e-06
4,3.14959340470954e-11,5.61212384459711e-06
4.23785237743718,2.60437144721436e-11,5.10330426999445e-06
4.48984819323749,3.02376321305925e-11,5.49887553328792e-06
4.75682846001088,3.5064628761028e-11,5.92153939115733e-06
5.03968419957949,2.60190128219755e-11,5.1008835334651e-06
5.33935941668014,2.72232018830535e-11,5.21758582900689e-06
5.65685424949238,2.80638538088854e-11,5.29753280394614e-06
5.99322830750673,2.66675108169558e-11,5.16405952879668e-06
6.3496042078728,2.89316160042116e-11,5.37881176508452e-06
6.72717132202972,2.49348200940563e-11,4.99347775543822e-06
7.12718974512272,2.8618077672423e-11,5.34958668239173e-06
7.55099450145355,2.62666397857531e-11,5.12509900253187e-06
8,2.36282286080803e-11,4.8608876358213e-06
8.47570475487436,2.53315718888387e-11,5.03304797203828e-06
8.97969638647498,2.93435375532098e-11,5.41696756065696e-06
9.51365692002177,3.17710538210831e-11,5.63658174970284e-06
10.079368399159,2.68149700250497e-11,5.1783172966756e-06
10.6787188333603,2.87710606662993e-11,5.36386620510796e-06
11.3137084989848,2.6297648336283e-11,5.12812327623693e-06
11.9864566150135,2.77097005272231e-11,5.26400043001737e-06
12.6992084157456,2.65328960361001e-11,5.15100922500631e-06
13.4543426440594,2.77575611819175e-11,5.26854450317329e-06
14.2543794902454,2.80396743565539e-11,5.29525016940219e-06
15.1019890029071,2.45331226340854e-11,4.95309222951536e-06
16,2.43302664365031e-11,4.93257198999701e-06
16.9514095097487,2.3894632780084e-11,4.88821365941425e-06
17.95939277295,2.68584471524976e-11,5.18251359404851e-06
19.0273138400435,2.58184214215972e-11,5.08118307302514e-06
20.158736798318,2.4624331426199e-11,4.96229094533956e-06
21.3574376667206,2.39885842007565e-11,4.89781422685227e-06
22.6274169979695,2.43766328207598e-11,4.93726977394995e-06
23.9729132300269,2.86739299363565e-11,5.35480437890653e-06
25.3984168314912,2.31222591367179e-11,4.80856102557906e-06
26.9086852881189,2.81786439788969e-11,5.30835605238542e-06
28.5087589804909,2.7410493955906e-11,5.2355032189758e-06
30.2039780058142,2.75405708471498e-11,5.24791109367811e-06
32,2.83606350129395e-11,5.32547040297282e-06
33.9028190194974,2.7043648151252e-11,5.20035077194337e-06
35.9187855458999,2.65259955685328e-11,5.15033936440433e-06
38.0546276800871,2.78326363765539e-11,5.2756645435958e-06
40.3174735966359,2.47986022463153e-11,4.97981949937097e-06
42.7148753334411,2.66782097096187e-11,5.16509532434965e-06
45.254833995939,2.57143490221908e-11,5.07093177061088e-06
47.9458264600538,2.58268008988922e-11,5.08200756580431e-06
50.7968336629824,5.63947004795754e-10,2.37475683975382e-05
53.8173705762377,2.81810248818186e-11,5.30858030756045e-06
57.0175179609817,2.75967328826752e-11,5.2532592628458e-06
60.4079560116284,2.5679196560877e-11,5.06746451007573e-06
64,2.6078916404771e-11,5.10675204065862e-06
67.8056380389949,2.60711994202046e-11,5.10599641795846e-06
71.8375710917999,2.65816656218988e-11,5.1557410351858e-06
76.1092553601741,2.70439274884295e-11,5.2003776294063e-06
80.6349471932719,2.52473547866356e-11,5.02467459509923e-06
85.4297506668822,2.59200210923885e-11,5.09117089601091e-06
90.5096679918781,2.64223198008254e-11,5.14026456525589e-06
95.8916529201076,2.68210448515774e-11,5.1789038272184e-06
101.593667325965,3.19327879434848e-11,5.65091036413469e-06
107.634741152475,2.6259031375071e-11,5.12435667914237e-06
114.035035921963,2.65799216339693e-11,5.15557190173596e-06
120.815912023257,2.60259524595571e-11,5.10156372689365e-06
128,2.60544838792342e-11,5.1043593015416e-06
135.61127607799,2.63782005402487e-11,5.13597123631438e-06
143.6751421836,2.55968004943396e-11,5.05932806747493e-06
152.218510720348,3.64900987260002e-11,6.04070349595146e-06
161.269894386544,2.62743175333594e-11,5.12584798188158e-06
170.859501333764,2.69388262310645e-11,5.19026263603919e-06
181.019335983756,2.64518116677099e-11,5.14313247619677e-06
191.783305840215,2.65562495830751e-11,5.15327561683587e-06
203.18733465193,2.71801043996808e-11,5.21345417162947e-06
215.269482304951,2.59133383822316e-11,5.09051454984971e-06
228.070071843927,2.5866291681509e-11,5.08589143430225e-06
241.631824046514,2.7087109253654e-11,5.20452776471161e-06
256,2.78872132456496e-11,5.28083452170673e-06
271.22255215598,2.65362194564256e-11,5.15133181385412e-06
287.350284367199,2.65563120993543e-11,5.15328168251593e-06
304.437021440697,2.62216925140095e-11,5.12071211004969e-06
322.539788773088,2.62847506089088e-11,5.12686557351651e-06
341.719002667529,2.75559487148316e-11,5.24937603099946e-06
362.038671967512,2.63209955439571e-11,5.13039916029514e-06
383.566611680431,2.62385234755803e-11,5.12235526643558e-06
406.374669303859,2.5678708170903e-11,5.06741632105583e-06
430.538964609902,2.5881625698818e-11,5.08739871632036e-06
456.140143687854,2.73890536771915e-11,5.2334552331315e-06
483.263648093027,2.60084891583975e-11,5.09985187612322e-06
512,2.65319287192488e-11,5.15091532829348e-06
542.445104311959,2.60818499724152e-11,5.10703925698787e-06
574.700568734399,2.62720278505449e-11,5.12562463028116e-06
608.874042881393,2.54254065146477e-11,5.04236120430178e-06
645.079577546175,2.69139221835947e-11,5.18786296885285e-06
683.438005335057,2.59958915621319e-11,5.09861663219857e-06
724.077343935025,2.55816946786553e-11,5.05783497938152e-06
767.133223360861,2.6578447974241e-11,5.15542898062237e-06
812.749338607718,2.66873713317088e-11,5.16598212653787e-06
861.077929219804,2.70454670852817e-11,5.20052565470854e-06
912.280287375708,2.60581748866604e-11,5.10472084316668e-06
966.527296186054,2.67459145556137e-11,5.17164524649687e-06
1024,2.61297515970255e-11,5.1117268703468e-06
1084.89020862392,2.58307707933157e-11,5.08239813408156e-06
1149.4011374688,2.77942169581648e-11,5.27202209386159e-06
1217.74808576279,2.65220256637615e-11,5.1499539477321e-06
1290.15915509235,2.62200233379716e-11,5.12054912465173e-06
1366.87601067011,2.6320151307358e-11,5.13031688176841e-06
1448.15468787005,2.64856874180303e-11,5.14642472188512e-06
1534.26644672172,2.62778853965655e-11,5.12619599669828e-06
1625.49867721544,2.62108714443278e-11,5.11965540288873e-06
1722.15585843961,2.63149448700344e-11,5.12980943798446e-06
1824.56057475142,2.59058712676265e-11,5.08978106283822e-06
1933.05459237211,2.58223216998235e-11,5.08156685480212e-06
2048,2.57771209270108e-11,5.07711738361551e-06
2169.78041724784,2.5914978367752e-11,5.0906756297914e-06
2298.8022749376,2.56583755442776e-11,5.0654097113933e-06
2435.49617152557,2.5576764401731e-11,5.0573475658423e-06
2580.3183101847,2.60414740809831e-11,5.10308476129714e-06
2733.75202134023,3.39847412619269e-11,5.8296433220161e-06
2896.3093757401,3.20930260783152e-11,5.66507070373488e-06
3068.53289344344,3.29396432425023e-11,5.73930686080665e-06
3250.99735443087,2.55000808205553e-11,5.04976047160212e-06
3444.31171687922,2.52960420816222e-11,5.02951708234719e-06
3649.12114950283,2.50849410755321e-11,5.00848690479791e-06
3866.10918474421,2.51470123989908e-11,5.01467969056757e-06
4096,2.48107442022366e-11,4.98103846624744e-06
4339.56083449568,2.47447800000371e-11,4.97441252813205e-06
4597.60454987519,2.47698956557198e-11,4.97693637248055e-06
4870.99234305115,2.44260360426404e-11,4.94227033281673e-06
5160.6366203694,2.41264582049055e-11,4.91186911520507e-06
5467.50404268046,2.37891513025128e-11,4.87741235723542e-06
5792.6187514802,2.35342145662983e-11,4.85120753692298e-06
6137.06578688689,2.34205581273169e-11,4.83947911735518e-06
6501.99470886174,2.32771371070944e-11,4.82463854678197e-06
6888.62343375843,2.27748902643893e-11,4.77230450247983e-06
7298.24229900566,2.24856506432436e-11,4.74190369400767e-06
7732.21836948843,2.21106498402751e-11,4.70219627836558e-06
8192,2.19681191032429e-11,4.68701601269324e-06
8679.12166899135,2.1379580920995e-11,4.62380589136212e-06
9195.20909975038,2.08271182385048e-11,4.56367376556485e-06
9741.98468610229,2.05874930876063e-11,4.5373442769539e-06
10321.2732407388,1.99058860992056e-11,4.46160129316881e-06
10935.0080853609,1.93510589763638e-11,4.39898385725201e-06
11585.2375029604,1.87794718732039e-11,4.33352880147391e-06
12274.1315737738,1.84102586969242e-11,4.29071773680398e-06
13003.9894177235,1.77160311606005e-11,4.20904159644455e-06
13777.2468675169,1.71279192861619e-11,4.1385890453344e-06
14596.4845980113,1.65198005617763e-11,4.06445575222272e-06
15464.4367389769,1.60432389601603e-11,4.0054012233683e-06
16384,1.56629207568266e-11,3.95764080694883e-06
17358.2433379827,1.51773340625397e-11,3.89580980831197e-06
18390.4181995008,1.4678847363803e-11,3.83129839138157e-06
19483.9693722046,1.68212386508419e-11,4.10137033817259e-06
20642.5464814776,1.3933384772643e-11,3.73274493806408e-06
21870.0161707218,1.21706429782357e-11,3.4886448627276e-06
23170.4750059208,7.97343467612419e-12,2.82372708952622e-06
