Frequency_Hz,Run_01_ASD_V_per_rtHz,Run_02_ASD_V_per_rtHz,Run_03_ASD_V_per_rtHz,Run_04_ASD_V_per_rtHz,Run_05_ASD_V_per_rtHz,Run_06_ASD_V_per_rtHz,Run_07_ASD_V_per_rtHz,Run_08_ASD_V_per_rtHz,Run_09_ASD_V_per_rtHz,Run_10_ASD_V_per_rtHz,Run_11_ASD_V_per_rtHz,Run_12_ASD_V_per_rtHz,Run_13_ASD_V_per_rtHz,Run_14_ASD_V_per_rtHz,Run_15_ASD_V_per_rtHz,Run_16_ASD_V_per_rtHz,Run_17_ASD_V_per_rtHz,Run_18_ASD_V_per_rtHz,Run_19_ASD_V_per_rtHz,Run_20_ASD_V_per_rtHz
1,7.60684732806803e-06,3.19801863804197e-06,5.38041986212326e-06,7.0157645266278e-06,4.38550395027079e-06,8.22568572490222e-06,6.65233152831281e-06,8.64897058749232e-06,7.76069510612154e-06,1.12203166925801e-05,4.23323467311007e-06,2.10169449492464e-06,7.57862781649647e-06,9.58164837228399e-06,7.16938141705812e-06,5.54100120273764e-06,3.43765992555017e-06,6.18598262503929e-06,1.04889573431921e-05,4.35117886681555e-06
1.0594630943593,5.45770875094671e-06,6.01144621935968e-06,5.54423163653074e-06,6.16787407012322e-06,3.67539840886229e-06,4.51797955255152e-06,9.26846944387233e-06,2.96501115397563e-06,9.46198205472014e-06,7.07791679191919e-06,2.76856328353535e-06,3.02160234054907e-06,6.08290474484695e-06,7.52225393387483e-06,9.90094892638913e-06,8.21131310784378e-06,5.48892020653661e-06,5.16115999755487e-06,3.66444394768957e-06,4.46956416727422e-06
1.12246204830937,3.40948990409527e-06,8.90442706573825e-06,3.86186720170769e-06,7.20177133347492e-06,2.80754887862672e-06,5.50648164675252e-06,9.93218601388274e-06,4.36478705413589e-06,7.88552621674683e-06,7.01299036686917e-06,7.71084276410101e-06,6.41676871821331e-06,1.01690751477088e-05,1.04458936141926e-05,9.91474027469537e-06,1.00189926318531e-05,6.08133375597659e-06,3.87819461517417e-06,3.17678018016063e-06,8.28484450533399e-06
1.18920711500272,5.19351469733449e-06,8.75330490861574e-06,6.69700515394769e-06,5.01142541086239e-06,4.69162526793557e-06,6.21269131670878e-06,8.32733717449315e-06,3.40937636541105e-06,5.47924507814357e-06,5.01804333898286e-06,9.61295758073981e-06,6.4919454846966e-06,6.50429999484407e-06,4.30281403875956e-06,3.94371053396123e-06,7.66796573264237e-06,2.79861201726064e-06,8.67918920723373e-06,4.85814033067577e-06,6.45167753878006e-06
1.25992104989487,5.71248457759778e-06,9.88761723994267e-06,5.67579942227705e-06,2.55825823426146e-06,4.80689696700894e-06,4.47942912469733e-06,6.61789859177886e-06,1.99492850690841e-06,4.64468551488538e-06,4.33234092870966e-06,8.1880531436791e-06,5.42276016578815e-06,1.23414977200426e-05,5.21804264886967e-06,9.5745976952485e-06,7.35161960669751e-06,6.19263311943015e-06,7.39145507974541e-06,4.99138599732357e-06,3.92758685689459e-06
1.33483985417003,5.43862665643096e-06,6.36203074458289e-06,1.300677635529e-05,3.4845153418545e-06,6.75570866545897e-06,6.933611802628e-06,7.58483566083272e-06,9.07277337416494e-06,4.86000265965466e-06,6.31060720954958e-06,4.18795603512581e-06,9.65485157185815e-06,8.25524620151542e-06,9.02770620810461e-06,2.7996181743996e-06,1.26725084150517e-05,3.41563659103946e-06,6.23828700640617e-06,7.87297979264405e-06,5.08537293126678e-06
1.4142135623731,5.92232693896342e-06,4.19318772702133e-06,1.05768726248605e-05,6.3044135472001e-06,4.92056428106956e-06,6.51193290299979e-06,1.00521032732523e-05,8.24633653761919e-06,2.47211783278919e-06,4.36114876181575e-06,3.5852016162214e-06,5.41685122136092e-06,9.14131893314642e-06,3.20734827276209e-06,3.70314384844835e-06,7.58632659325669e-06,2.35020415562857e-06,4.32505400080636e-06,5.15441320626796e-06,3.52453470540339e-06
1.49830707687668,1.87163705110611e-06,5.09089140142907e-06,7.56105970569352e-06,5.98674594232869e-06,3.97762024965052e-06,4.78293427265262e-06,8.18009716324247e-06,8.28605182043664e-06,4.00290108188926e-06,7.7877632202014e-06,3.75774335151519e-06,4.02869746695076e-06,8.83781435697289e-06,3.2171734999863e-06,6.31051520981616e-06,8.2279232167916e-06,4.02355423837202e-06,6.06964921229012e-06,7.20717726733144e-06,6.55461718426379e-06
1.5874010519682,7.17426941375227e-06,4.72120976332357e-06,1.15951031226478e-05,5.75640320213008e-06,6.55907915293963e-06,4.12957728522764e-06,4.58251741589288e-06,3.92971864280175e-06,7.07073830591279e-06,5.45324108039622e-06,2.41234092316536e-06,3.87038968929634e-06,5.96322184885558e-06,3.30780351541768e-06,7.24737535764423e-06,2.96659075090349e-06,4.6399992183643e-06,5.02044523679386e-06,6.99529103664336e-06,7.76610825589588e-06
1.68179283050743,3.60752826866949e-06,5.05430860228069e-06,7.00727036272427e-06,3.72310676530588e-06,6.58047007160881e-06,3.27203754618007e-06,3.26299982410635e-06,7.75664695943507e-06,3.56601276553281e-06,2.18091973414676e-06,3.19808468989954e-06,4.54478993359458e-06,6.21306535632412e-06,4.02771860993135e-06,9.97699536875082e-06,6.49687993777217e-06,4.45656196402891e-06,2.70803767534388e-06,7.86386357656903e-06,4.60631040119787e-06
