Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0600461165704947,0.000691994613533344,7.60684732806803e-06,0.000679374023887303,5.14686249179491e-06,4.90688815238551e-06,3.80086956844058e-06,-2.21846384560921,1,0,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0606830073684036,0.000680624829414856,3.19801863804197e-06,0.000678444576984927,5.14271115417623e-06,4.89556425960631e-06,3.79831145507291e-06,-2.20424364518285,1,0,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0592374808646089,0.000679636698360754,5.38041986212326e-06,0.000678971643588814,5.11009972382666e-06,4.91059100548866e-06,3.79653169186981e-06,-2.23493468946413,1,0,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0586691293891402,0.000679369751310786,7.0157645266278e-06,0.000678714256560219,5.14268520057882e-06,4.90367592977907e-06,3.79708175159192e-06,-2.22143627005462,1,0,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0587493240901464,0.00067994894617797,4.38550395027079e-06,0.000679150778517778,5.10535001349597e-06,4.89767922186695e-06,3.80918674399053e-06,-2.18316145761777,1,0,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.0588407360526445,0.000680783117452626,8.22568572490222e-06,0.000680621451753866,5.14098598049493e-06,4.92081023480182e-06,3.80626877538522e-06,-2.23074330113341,1,0,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0591138454440673,0.000681427222260963,6.65233152831281e-06,0.000680271492757394,5.18529521389408e-06,4.90880301972418e-06,3.80857618292787e-06,-2.20425915778782,1,0,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0600422017317889,0.000696405066186432,8.64897058749232e-06,0.000678888197181289,5.15225785449289e-06,4.89421422021215e-06,3.8044249639698e-06,-2.18787903531205,1,0,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0610131980988324,0.000681295897279776,7.76069510612154e-06,0.000679621844999809,5.1306766505352e-06,4.90321031056038e-06,3.80488711883988e-06,-2.20277489367474,1,0,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (10).tdms,1100002,50000,-11.89574,-0.0597099646379142,0.000705622911934293,1.12203166925801e-05,0.000679297989199124,5.11751635863544e-06,4.91037409012908e-06,3.79994526597165e-06,-2.22674476772135,1,0,NaN,0,0,0,0
