Frequency_Hz,Average_PSD_V2_per_Hz,Average_ASD_V_per_rtHz
1,5.36858822766919e-11,7.32706505203086e-06
1.0594630943593,5.21813933244397e-11,7.2236689655908e-06
1.12246204830937,5.03981119426052e-11,7.09916276349579e-06
1.18920711500272,5.28262074288319e-11,7.26816396546142e-06
1.25992104989487,5.49616152323445e-11,7.41361013490354e-06
1.33483985417003,4.9174187529213e-11,7.01243092865898e-06
1.4142135623731,4.72623170365665e-11,6.87475941663172e-06
1.49830707687668,4.57324301475673e-11,6.76257570364778e-06
1.5874010519682,3.77505678582454e-11,6.1441490751971e-06
1.68179283050743,3.76469678203074e-11,6.13571249491918e-06
1.78179743628068,4.00641963232148e-11,6.32962845064501e-06
1.88774862536339,3.91097672897627e-11,6.25378023996388e-06
2,3.85419367692092e-11,6.20821526440645e-06
2.11892618871859,3.60969141990047e-11,6.00807075515966e-06
2.24492409661875,3.28750764426049e-11,5.73367913669791e-06
2.37841423000544,2.98494938712668e-11,5.46346903269953e-06
2.51984209978975,3.18486490820075e-11,5.64346073628651e-06
2.66967970834007,3.25763381199011e-11,5.70756849454311e-06
2.82842712474619,3.1677062843107e-11,5.62823798742618e-06
2.99661415375336,3.16835749650373e-11,5.62881647995716e-06
3.1748021039364,3.49926063232838e-11,5.91545487036152e-06
3.36358566101486,3.15519912277767e-11,5.61711591724585e-06
3.56359487256136,2.70384026173893e-11,5.19984640324975e-06
3.77549725072677,3.10115377511682e-11,5.56880038708232e-06
4,3.082528966972e-11,5.55205274378045e-06
4.23785237743718,2.92102978272209e-11,5.40465519966084e-06
4.48984819323749,3.23037473350897e-11,5.6836385647831e-06
4.75682846001088,3.14589496010481e-11,5.60882782772373e-06
5.03968419957949,2.80624545555429e-11,5.29740073578948e-06
5.33935941668014,2.83006180894733e-11,5.31983252457005e-06
5.65685424949238,2.91347235276413e-11,5.39765907849332e-06
5.99322830750673,2.75643091273091e-11,5.25017229501177e-06
6.3496042078728,3.03546728848989e-11,5.50950749930508e-06
6.72717132202972,2.49373745327991e-11,4.99373352641078e-06
7.12718974512272,2.72861542359978e-11,5.22361505434673e-06
7.55099450145355,2.73580088836488e-11,5.23048839819465e-06
8,2.39785374967529e-11,4.8967884880555e-06
8.47570475487436,2.66175110416171e-11,5.15921612666276e-06
8.97969638647498,2.90591563113863e-11,5.3906545345984e-06
9.51365692002177,3.12442921850292e-11,5.5896593979445e-06
10.079368399159,2.64046409130272e-11,5.13854462985652e-06
10.6787188333603,2.89772701919858e-11,5.38305398375177e-06
11.3137084989848,2.59618477898181e-11,5.09527700815355e-06
11.9864566150135,2.74994532976531e-11,5.24399211456816e-06
12.6992084157456,2.43619941230767e-11,4.93578708242938e-06
13.4543426440594,2.64102978465269e-11,5.13909504159311e-06
14.2543794902454,2.78848469473738e-11,5.28061047108891e-06
15.1019890029071,2.54675110626237e-11,5.04653455973737e-06
16,2.51949003469589e-11,5.01945219590334e-06
