Run,SourceFile,Samples,SampleRate_Hz,StartTime_s,Mean_V,AC_RMS_V,ASD_1Hz_V_rtHz,IntegratedNoise_1_25k_Vrms,ASD_100_1k_V_rtHz,ASD_1k_10k_V_rtHz,ASD_10k_25k_V_rtHz,RollOff_10k_25k_vs_1k_10k_dB,SegmentCount,DiscardedSamples,DuplicateOfRun,IsExactDuplicate,Outlier_AC_RMS,Outlier_ASD_1Hz,IsOutlier
1,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (1).tdms,1100002,50000,-10.33808,-0.0600461165704947,0.000691994613533344,4.89785762144896e-06,0.000679111635914059,5.13758081760794e-06,4.9070950783618e-06,3.79843984174446e-06,-2.22438440431326,4,100002,NaN,0,0,0,0
2,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (2).tdms,1100002,50000,-10.33808,-0.0606830073684036,0.000680624829414856,6.31891903034408e-06,0.000678515933256772,5.16286628003193e-06,4.89349078725223e-06,3.79958669054897e-06,-2.19764834602531,4,100002,NaN,0,0,0,0
3,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (3).tdms,1100002,50000,-10.33808,-0.0592374808646089,0.000679636698360754,6.41753118774602e-06,0.000678977600307287,5.1045806010096e-06,4.91155887702295e-06,3.79673802853755e-06,-2.23617444486549,4,100002,NaN,0,0,0,0
4,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (4).tdms,1100002,50000,-10.33808,-0.0586691293891402,0.000679369751310786,7.29937248765357e-06,0.000678829094904898,5.14303647087284e-06,4.90305418251921e-06,3.79748472629999e-06,-2.21941313559039,4,100002,NaN,0,0,0,0
5,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (5).tdms,1100002,50000,-10.33808,-0.0587493240901464,0.00067994894617797,4.41464600790793e-06,0.000679064953507283,5.11687998554772e-06,4.8992054473122e-06,3.80734412590743e-06,-2.19007039413658,4,100002,NaN,0,0,0,0
6,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (6).tdms,1100002,50000,-10.33808,-0.0588407360526445,0.000680783117452626,7.24266286169647e-06,0.000680298168399448,5.13298064581818e-06,4.91720774464356e-06,3.80564716371493e-06,-2.22580072546327,4,100002,NaN,0,0,0,0
7,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (7).tdms,1100002,50000,-10.33808,-0.0591138454440673,0.000681427222260963,8.51819092362711e-06,0.000679959856213297,5.17701066177555e-06,4.91223241920882e-06,3.80281367130344e-06,-2.22347720881008,4,100002,NaN,0,0,0,0
8,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (8).tdms,1100002,50000,-10.33808,-0.0600422017317889,0.000696405066186432,7.89370164079166e-06,0.000678984104801729,5.13898914195671e-06,4.89465590679204e-06,3.80665416884008e-06,-2.18357486141087,4,100002,NaN,0,0,0,0
9,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (9).tdms,1100002,50000,-10.33808,-0.0610131980988324,0.000681295897279776,6.43592319897072e-06,0.000680005891041405,5.15000071313064e-06,4.90855833038324e-06,3.80412789445735e-06,-2.21397693607392,4,100002,NaN,0,0,0,0
10,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (10).tdms,1100002,50000,-11.89574,-0.0597099646379142,0.000705622911934293,7.82684690518073e-06,0.000679171057743565,5.11788298850118e-06,4.90841315950477e-06,3.80055122622212e-06,-2.22189042366177,4,100002,NaN,0,0,0,0
11,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (11).tdms,1100002,50000,-10.33808,-0.0620484528852216,0.00068176841720619,4.3628190865349e-06,0.000679713826159652,5.14486837646644e-06,4.91016932868313e-06,3.80572567956254e-06,-2.2131797690268,4,100002,NaN,0,0,0,0
12,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (12).tdms,1100002,50000,-10.33808,-0.0624494414791429,0.00068168796019084,3.91834813343576e-06,0.000680553608800472,5.16286910523923e-06,4.91287907565853e-06,3.81158679337872e-06,-2.20460522291093,4,100002,NaN,0,0,0,0
13,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (13).tdms,1100002,50000,-10.33808,-0.0599544389076581,0.000757311728788268,7.61231760513241e-06,0.000682714459612563,5.18498299648446e-06,4.9281527652292e-06,3.82262849657752e-06,-2.20644137632701,4,100002,NaN,0,1,0,1
14,Unicorn_CSA_RevA-COB_wo_Shield_2026-08-28 (14).tdms,1100002,50000,-10.33808,-0.0560830007485242,0.000692693342754954,8.99040849968567e-06,0.00068034516633587,5.14518215048223e-06,4.91426040396659e-06,3.80662111393216e-06,-2.21837027271487,4,100002,NaN,0,0,0,0
