task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
DMM7510_short_100mV_10NPLC_drfit,1,1,2026-09-03T13:08:34.634628+00:00,3.359999999993e-01,-1.193518000000e-06,-1.193518000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,2,2026-09-03T13:08:35.298628+00:00,1.000000000004e+00,-1.230805000000e-06,-1.230805000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,3,2026-09-03T13:08:35.954628+00:00,1.655999999999e+00,-1.172545000000e-06,-1.172545000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,4,2026-09-03T13:08:36.610628+00:00,2.312000000002e+00,-1.233653000000e-06,-1.233653000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,5,2026-09-03T13:08:37.274628+00:00,2.975999999999e+00,-1.223166000000e-06,-1.223166000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,6,2026-09-03T13:08:37.939128+00:00,3.640500000001e+00,-1.209054000000e-06,-1.209054000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,7,2026-09-03T13:08:38.595628+00:00,4.297000000002e+00,-1.203487000000e-06,-1.203487000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,8,2026-09-03T13:08:39.251628+00:00,4.953000000001e+00,-1.222648000000e-06,-1.222648000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,9,2026-09-03T13:08:39.915628+00:00,5.617000000002e+00,-1.224461000000e-06,-1.224461000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,10,2026-09-03T13:08:40.579628+00:00,6.280999999999e+00,-1.252425000000e-06,-1.252425000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,11,2026-09-03T13:08:41.235628+00:00,6.937000000002e+00,-1.168013000000e-06,-1.168013000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,12,2026-09-03T13:08:41.892128+00:00,7.593499999999e+00,-1.221613000000e-06,-1.221613000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,13,2026-09-03T13:08:42.556628+00:00,8.258000000002e+00,-1.168143000000e-06,-1.168143000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,14,2026-09-03T13:08:43.220628+00:00,8.922000000002e+00,-1.185362000000e-06,-1.185362000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,15,2026-09-03T13:08:43.876628+00:00,9.578000000001e+00,-1.150406000000e-06,-1.150406000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,16,2026-09-03T13:08:44.532628+00:00,1.023400000000e+01,-1.146652000000e-06,-1.146652000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,17,2026-09-03T13:08:45.189128+00:00,1.089050000000e+01,-1.194295000000e-06,-1.194295000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,18,2026-09-03T13:08:45.853128+00:00,1.155450000000e+01,-1.205818000000e-06,-1.205818000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,19,2026-09-03T13:08:46.517128+00:00,1.221850000000e+01,-1.126455000000e-06,-1.126455000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,20,2026-09-03T13:08:47.173628+00:00,1.287500000000e+01,-1.221483000000e-06,-1.221483000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,21,2026-09-03T13:08:47.829628+00:00,1.353100000000e+01,-1.207501000000e-06,-1.207501000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,22,2026-09-03T13:08:48.493628+00:00,1.419500000000e+01,-1.184326000000e-06,-1.184326000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,23,2026-09-03T13:08:49.157628+00:00,1.485900000000e+01,-1.161669000000e-06,-1.161669000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,24,2026-09-03T13:08:49.814128+00:00,1.551550000000e+01,-1.139531000000e-06,-1.139531000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,25,2026-09-03T13:08:50.470628+00:00,1.617200000000e+01,-1.156491000000e-06,-1.156491000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,26,2026-09-03T13:08:51.126628+00:00,1.682800000000e+01,-1.163094000000e-06,-1.163094000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,27,2026-09-03T13:08:51.782628+00:00,1.748400000000e+01,-1.132798000000e-06,-1.132798000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,28,2026-09-03T13:08:52.446628+00:00,1.814800000000e+01,-1.173710000000e-06,-1.173710000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,29,2026-09-03T13:08:53.110628+00:00,1.881200000000e+01,-1.204911000000e-06,-1.204911000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,30,2026-09-03T13:08:53.767128+00:00,1.946850000000e+01,-1.184197000000e-06,-1.184197000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,31,2026-09-03T13:08:54.423628+00:00,2.012500000000e+01,-1.139142000000e-06,-1.139142000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,32,2026-09-03T13:08:55.087628+00:00,2.078900000000e+01,-1.141084000000e-06,-1.141084000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,33,2026-09-03T13:08:55.751628+00:00,2.145300000000e+01,-1.159857000000e-06,-1.159857000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,34,2026-09-03T13:08:56.407628+00:00,2.210900000000e+01,-1.177982000000e-06,-1.177982000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,35,2026-09-03T13:08:57.064128+00:00,2.276550000000e+01,-1.125678000000e-06,-1.125678000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,36,2026-09-03T13:08:57.720628+00:00,2.342200000000e+01,-1.160375000000e-06,-1.160375000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,37,2026-09-03T13:08:58.384628+00:00,2.408600000000e+01,-1.169437000000e-06,-1.169437000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,38,2026-09-03T13:08:59.048628+00:00,2.475000000000e+01,-1.163094000000e-06,-1.163094000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,39,2026-09-03T13:08:59.704628+00:00,2.540600000000e+01,-1.122441000000e-06,-1.122441000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,40,2026-09-03T13:09:00.360628+00:00,2.606200000000e+01,-1.112731000000e-06,-1.112731000000e-06
DMM7510_short_100mV_10NPLC_drfit,1,41,2026-09-03T13:09:01.017128+00:00,2.671850000000e+01,-1.164906000000e-06,-1.164906000000e-06
