task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,1,2026-09-03T14:15:20.291975+00:00,3.359999999993e-01,-3.301402000000e-04,-3.268714851485e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,2,2026-09-03T14:15:20.955975+00:00,9.999999999964e-01,-3.331900000000e-04,-3.298910891089e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,3,2026-09-03T14:15:21.611975+00:00,1.655999999999e+00,-3.340500000000e-04,-3.307425742574e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,4,2026-09-03T14:15:22.268475+00:00,2.312499999996e+00,-3.336804000000e-04,-3.303766336634e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,5,2026-09-03T14:15:22.932975+00:00,2.976999999999e+00,-3.270292000000e-04,-3.237912871287e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,6,2026-09-03T14:15:23.596975+00:00,3.641000000000e+00,-3.478317000000e-04,-3.443878217822e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,7,2026-09-03T14:15:24.252975+00:00,4.296999999999e+00,-3.530397000000e-04,-3.495442574257e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,8,2026-09-03T14:15:24.908975+00:00,4.952999999998e+00,-3.450660000000e-04,-3.416495049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,9,2026-09-03T14:15:25.565475+00:00,5.609499999999e+00,-3.576218000000e-04,-3.540809900990e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,10,2026-09-03T14:15:26.229475+00:00,6.273499999999e+00,-3.523232000000e-04,-3.488348514851e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,11,2026-09-03T14:15:26.893475+00:00,6.937499999996e+00,-3.559152000000e-04,-3.523912871287e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,12,2026-09-03T14:15:27.549975+00:00,7.594000000001e+00,-3.513606000000e-04,-3.478817821782e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,13,2026-09-03T14:15:28.205975+00:00,8.249999999996e+00,-3.645388000000e-04,-3.609295049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,14,2026-09-03T14:15:28.869975+00:00,8.914000000001e+00,-3.692715000000e-04,-3.656153465347e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,15,2026-09-03T14:15:29.533975+00:00,9.577999999998e+00,-3.703012000000e-04,-3.666348514851e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,16,2026-09-03T14:15:30.190475+00:00,1.023450000000e+01,-3.723623000000e-04,-3.686755445545e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,17,2026-09-03T14:15:30.846975+00:00,1.089100000000e+01,-3.731903000000e-04,-3.694953465347e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,18,2026-09-03T14:15:31.502975+00:00,1.154700000000e+01,-3.694729000000e-04,-3.658147524752e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,19,2026-09-03T14:15:32.166975+00:00,1.221100000000e+01,-3.780507000000e-04,-3.743076237624e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,20,2026-09-03T14:15:32.830975+00:00,1.287500000000e+01,-3.708636000000e-04,-3.671916831683e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,21,2026-09-03T14:15:33.486975+00:00,1.353100000000e+01,-3.828386000000e-04,-3.790481188119e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,22,2026-09-03T14:15:34.143475+00:00,1.418750000000e+01,-3.754489000000e-04,-3.717315841584e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,23,2026-09-03T14:15:34.807975+00:00,1.485200000000e+01,-3.869204000000e-04,-3.830895049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,24,2026-09-03T14:15:35.471975+00:00,1.551600000000e+01,-3.935678000000e-04,-3.896710891089e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,25,2026-09-03T14:15:36.127975+00:00,1.617200000000e+01,-3.963963000000e-04,-3.924715841584e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,26,2026-09-03T14:15:36.783975+00:00,1.682800000000e+01,-3.943151000000e-04,-3.904109900990e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,27,2026-09-03T14:15:37.447975+00:00,1.749200000000e+01,-4.027613000000e-04,-3.987735643564e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,28,2026-09-03T14:15:38.111975+00:00,1.815600000000e+01,-3.969096000000e-04,-3.929798019802e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,29,2026-09-03T14:15:38.768475+00:00,1.881250000000e+01,-4.037479000000e-04,-3.997503960396e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,30,2026-09-03T14:15:39.424975+00:00,1.946900000000e+01,-3.953389000000e-04,-3.914246534653e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,31,2026-09-03T14:15:40.080975+00:00,2.012500000000e+01,-3.923296000000e-04,-3.884451485149e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,32,2026-09-03T14:15:40.744975+00:00,2.078900000000e+01,-4.031935000000e-04,-3.992014851485e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,33,2026-09-03T14:15:41.408975+00:00,2.145300000000e+01,-4.152682000000e-04,-4.111566336634e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,34,2026-09-03T14:15:42.065475+00:00,2.210950000000e+01,-3.991874000000e-04,-3.952350495050e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,35,2026-09-03T14:15:42.721975+00:00,2.276600000000e+01,-4.035683000000e-04,-3.995725742574e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,36,2026-09-03T14:15:43.385975+00:00,2.343000000000e+01,-4.212726000000e-04,-4.171015841584e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,37,2026-09-03T14:15:44.049975+00:00,2.409400000000e+01,-4.131538000000e-04,-4.090631683168e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,38,2026-09-03T14:15:44.705975+00:00,2.475000000000e+01,-4.253416000000e-04,-4.211302970297e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,39,2026-09-03T14:15:45.361975+00:00,2.540600000000e+01,-4.154617000000e-04,-4.113482178218e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,40,2026-09-03T14:15:46.025975+00:00,2.607000000000e+01,-4.277836000000e-04,-4.235481188119e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,41,2026-09-03T14:15:46.690475+00:00,2.673450000000e+01,-4.125688000000e-04,-4.084839603960e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,42,2026-09-03T14:15:47.346975+00:00,2.739100000000e+01,-4.203930000000e-04,-4.162306930693e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,43,2026-09-03T14:15:48.002975+00:00,2.804700000000e+01,-4.192865000000e-04,-4.151351485149e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,44,2026-09-03T14:15:48.666975+00:00,2.871100000000e+01,-4.266312000000e-04,-4.224071287129e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,45,2026-09-03T14:15:49.330975+00:00,2.937500000000e+01,-4.393570000000e-04,-4.350069306931e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,46,2026-09-03T14:15:49.986975+00:00,3.003100000000e+01,-4.357261000000e-04,-4.314119801980e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,47,2026-09-03T14:15:50.643475+00:00,3.068750000000e+01,-4.437486000000e-04,-4.393550495050e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,48,2026-09-03T14:15:51.299975+00:00,3.134400000000e+01,-4.383578000000e-04,-4.340176237624e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,49,2026-09-03T14:15:51.971975+00:00,3.201600000000e+01,-4.423840000000e-04,-4.380039603960e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,50,2026-09-03T14:15:52.627975+00:00,3.267200000000e+01,-4.150637000000e-04,-4.109541584158e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,51,2026-09-03T14:15:53.283975+00:00,3.332800000000e+01,-4.333799000000e-04,-4.290890099010e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,52,2026-09-03T14:15:53.940475+00:00,3.398450000000e+01,-4.408932000000e-04,-4.365279207921e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,53,2026-09-03T14:15:54.604475+00:00,3.464850000000e+01,-4.300863000000e-04,-4.258280198020e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,54,2026-09-03T14:15:55.268475+00:00,3.531250000000e+01,-4.481262000000e-04,-4.436893069307e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,55,2026-09-03T14:15:55.924975+00:00,3.596900000000e+01,-4.425206000000e-04,-4.381392079208e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,56,2026-09-03T14:15:56.580975+00:00,3.662500000000e+01,-4.600978000000e-04,-4.555423762376e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,57,2026-09-03T14:15:57.244975+00:00,3.728900000000e+01,-4.526423000000e-04,-4.481606930693e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,58,2026-09-03T14:15:57.908975+00:00,3.795300000000e+01,-4.516259000000e-04,-4.471543564356e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,59,2026-09-03T14:15:58.565475+00:00,3.860950000000e+01,-4.614330000000e-04,-4.568643564356e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,60,2026-09-03T14:15:59.221975+00:00,3.926600000000e+01,-4.564651000000e-04,-4.519456435644e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,61,2026-09-03T14:15:59.885975+00:00,3.993000000000e+01,-4.560512000000e-04,-4.515358415842e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,62,2026-09-03T14:16:00.549975+00:00,4.059400000000e+01,-4.436417000000e-04,-4.392492079208e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,63,2026-09-03T14:16:01.205975+00:00,4.125000000000e+01,-4.548592000000e-04,-4.503556435644e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,64,2026-09-03T14:16:01.861975+00:00,4.190600000000e+01,-4.534870000000e-04,-4.489970297030e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,65,2026-09-03T14:16:02.525975+00:00,4.257000000000e+01,-4.572489000000e-04,-4.527216831683e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,66,2026-09-03T14:16:03.190475+00:00,4.323450000000e+01,-4.562737000000e-04,-4.517561386139e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,67,2026-09-03T14:16:03.846975+00:00,4.389100000000e+01,-4.548524000000e-04,-4.503489108911e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,68,2026-09-03T14:16:04.502975+00:00,4.454700000000e+01,-4.651842000000e-04,-4.605784158416e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,69,2026-09-03T14:16:05.166975+00:00,4.521100000000e+01,-4.555402000000e-04,-4.510299009901e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,70,2026-09-03T14:16:05.830975+00:00,4.587500000000e+01,-4.725829000000e-04,-4.679038613861e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,71,2026-09-03T14:16:06.486975+00:00,4.653100000000e+01,-4.723764000000e-04,-4.676994059406e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,72,2026-09-03T14:16:07.143475+00:00,4.718750000000e+01,-4.693168000000e-04,-4.646700990099e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,73,2026-09-03T14:16:07.807975+00:00,4.785200000000e+01,-4.701733000000e-04,-4.655181188119e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,74,2026-09-03T14:16:08.471975+00:00,4.851600000000e+01,-4.605744000000e-04,-4.560142574257e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,75,2026-09-03T14:16:09.127975+00:00,4.917200000000e+01,-4.598525000000e-04,-4.552995049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,76,2026-09-03T14:16:09.791975+00:00,4.983600000000e+01,-4.740212000000e-04,-4.693279207921e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,77,2026-09-03T14:16:10.455975+00:00,5.050000000000e+01,-4.748069000000e-04,-4.701058415842e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,78,2026-09-03T14:16:11.111975+00:00,5.115600000000e+01,-4.607892000000e-04,-4.562269306931e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,79,2026-09-03T14:16:11.768475+00:00,5.181250000000e+01,-4.765889000000e-04,-4.718701980198e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,80,2026-09-03T14:16:12.432975+00:00,5.247700000000e+01,-4.595264000000e-04,-4.549766336634e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,81,2026-09-03T14:16:13.096975+00:00,5.314100000000e+01,-4.750411000000e-04,-4.703377227723e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,82,2026-09-03T14:16:13.752975+00:00,5.379700000000e+01,-4.618580000000e-04,-4.572851485149e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,83,2026-09-03T14:16:14.408975+00:00,5.445300000000e+01,-4.799053000000e-04,-4.751537623762e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,84,2026-09-03T14:16:15.072975+00:00,5.511700000000e+01,-4.777244000000e-04,-4.729944554455e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,85,2026-09-03T14:16:15.736975+00:00,5.578100000000e+01,-4.756365000000e-04,-4.709272277228e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,86,2026-09-03T14:16:16.393475+00:00,5.643750000000e+01,-4.811008000000e-04,-4.763374257426e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,87,2026-09-03T14:16:17.049975+00:00,5.709400000000e+01,-4.890099000000e-04,-4.841682178218e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,88,2026-09-03T14:16:17.713975+00:00,5.775800000000e+01,-4.850933000000e-04,-4.802903960396e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,89,2026-09-03T14:16:18.377975+00:00,5.842200000000e+01,-4.769848000000e-04,-4.722621782178e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,90,2026-09-03T14:16:19.033975+00:00,5.907800000000e+01,-4.820524000000e-04,-4.772796039604e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,91,2026-09-03T14:16:19.690475+00:00,5.973450000000e+01,-4.618586000000e-04,-4.572857425743e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,92,2026-09-03T14:16:20.361975+00:00,6.040600000000e+01,-4.868111000000e-04,-4.819911881188e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,93,2026-09-03T14:16:21.018475+00:00,6.106250000000e+01,-4.706583000000e-04,-4.659983168317e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,94,2026-09-03T14:16:21.674975+00:00,6.171900000000e+01,-4.838356000000e-04,-4.790451485149e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,95,2026-09-03T14:16:22.338975+00:00,6.238300000000e+01,-4.876871000000e-04,-4.828585148515e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,96,2026-09-03T14:16:23.002975+00:00,6.304700000000e+01,-4.803591000000e-04,-4.756030693069e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,97,2026-09-03T14:16:23.658975+00:00,6.370300000000e+01,-4.930723000000e-04,-4.881903960396e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,98,2026-09-03T14:16:24.315475+00:00,6.435950000000e+01,-4.882098000000e-04,-4.833760396040e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,99,2026-09-03T14:16:24.979475+00:00,6.502350000000e+01,-4.790933000000e-04,-4.743498019802e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,100,2026-09-03T14:16:25.643475+00:00,6.568750000000e+01,-5.039758000000e-04,-4.989859405941e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,101,2026-09-03T14:16:26.299975+00:00,6.634400000000e+01,-4.931927000000e-04,-4.883096039604e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,102,2026-09-03T14:16:26.955975+00:00,6.700000000000e+01,-4.868332000000e-04,-4.820130693069e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,103,2026-09-03T14:16:27.619975+00:00,6.766400000000e+01,-4.890362000000e-04,-4.841942574257e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,104,2026-09-03T14:16:28.283975+00:00,6.832800000000e+01,-4.932511000000e-04,-4.883674257426e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,105,2026-09-03T14:16:28.940475+00:00,6.898450000000e+01,-4.939987000000e-04,-4.891076237624e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,106,2026-09-03T14:16:29.604475+00:00,6.964850000000e+01,-4.993536000000e-04,-4.944095049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,107,2026-09-03T14:16:30.268475+00:00,7.031250000000e+01,-4.929277000000e-04,-4.880472277228e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,108,2026-09-03T14:16:30.924975+00:00,7.096900000000e+01,-4.952427000000e-04,-4.903393069307e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,109,2026-09-03T14:16:31.580975+00:00,7.162500000000e+01,-4.962814000000e-04,-4.913677227723e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,110,2026-09-03T14:16:32.244975+00:00,7.228900000000e+01,-4.910287000000e-04,-4.861670297030e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,111,2026-09-03T14:16:32.908975+00:00,7.295300000000e+01,-5.012118000000e-04,-4.962493069307e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,112,2026-09-03T14:16:33.565475+00:00,7.360950000000e+01,-4.968238000000e-04,-4.919047524752e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,113,2026-09-03T14:16:34.221975+00:00,7.426600000000e+01,-4.921985000000e-04,-4.873252475248e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,114,2026-09-03T14:16:34.885975+00:00,7.493000000000e+01,-4.903317000000e-04,-4.854769306931e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,115,2026-09-03T14:16:35.549975+00:00,7.559400000000e+01,-4.956495000000e-04,-4.907420792079e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,116,2026-09-03T14:16:36.205975+00:00,7.625000000000e+01,-5.031116000000e-04,-4.981302970297e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,117,2026-09-03T14:16:36.861975+00:00,7.690600000000e+01,-4.937594000000e-04,-4.888706930693e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,118,2026-09-03T14:16:37.525975+00:00,7.757000000000e+01,-4.960668000000e-04,-4.911552475248e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,119,2026-09-03T14:16:38.190475+00:00,7.823450000000e+01,-4.889196000000e-04,-4.840788118812e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,120,2026-09-03T14:16:38.846975+00:00,7.889100000000e+01,-4.992174000000e-04,-4.942746534653e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,121,2026-09-03T14:16:39.502975+00:00,7.954700000000e+01,-5.030029000000e-04,-4.980226732673e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,122,2026-09-03T14:16:40.174975+00:00,8.021900000000e+01,-5.000273000000e-04,-4.950765346535e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,123,2026-09-03T14:16:40.830975+00:00,8.087500000000e+01,-5.022659000000e-04,-4.972929702970e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,124,2026-09-03T14:16:41.486975+00:00,8.153100000000e+01,-5.103032000000e-04,-5.052506930693e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,125,2026-09-03T14:16:42.150975+00:00,8.219500000000e+01,-4.929358000000e-04,-4.880552475248e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,126,2026-09-03T14:16:42.815475+00:00,8.285950000000e+01,-5.055954000000e-04,-5.005895049505e-06
Offset_RevB_Chip_1_woShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain101,1,127,2026-09-03T14:16:43.471975+00:00,8.351600000000e+01,-4.911165000000e-04,-4.862539603960e-06
