task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,1,2026-09-03T06:26:41.076547+00:00,3.280000000000e-01,4.437759000000e-04,4.433325674326e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,2,2026-09-03T06:26:41.740547+00:00,9.919999999997e-01,4.395912000000e-04,4.391520479520e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,3,2026-09-03T06:26:42.404547+00:00,1.656000000000e+00,4.307602000000e-04,4.303298701299e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,4,2026-09-03T06:26:43.061047+00:00,2.312500000000e+00,4.452939000000e-04,4.448490509491e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,5,2026-09-03T06:26:43.725047+00:00,2.976500000000e+00,4.363233000000e-04,4.358874125874e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,6,2026-09-03T06:26:44.389047+00:00,3.640500000000e+00,4.486276000000e-04,4.481794205794e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,7,2026-09-03T06:26:45.045547+00:00,4.297000000000e+00,4.424942000000e-04,4.420521478521e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,8,2026-09-03T06:26:45.701547+00:00,4.953000000000e+00,4.394622000000e-04,4.390231768232e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,9,2026-09-03T06:26:46.365547+00:00,5.617000000000e+00,4.418602000000e-04,4.414187812188e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,10,2026-09-03T06:26:47.029547+00:00,6.281000000000e+00,4.365051000000e-04,4.360690309690e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,11,2026-09-03T06:26:47.686047+00:00,6.937500000000e+00,4.455286000000e-04,4.450835164835e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,12,2026-09-03T06:26:48.342547+00:00,7.594000000000e+00,4.333064000000e-04,4.328735264735e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,13,2026-09-03T06:26:49.006547+00:00,8.258000000000e+00,4.307541000000e-04,4.303237762238e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,14,2026-09-03T06:26:49.670547+00:00,8.922000000000e+00,4.428162000000e-04,4.423738261738e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,15,2026-09-03T06:26:50.326547+00:00,9.578000000000e+00,4.327673000000e-04,4.323349650350e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,16,2026-09-03T06:26:50.982547+00:00,1.023400000000e+01,4.448782000000e-04,4.444337662338e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,17,2026-09-03T06:26:51.646547+00:00,1.089800000000e+01,4.502044000000e-04,4.497546453546e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,18,2026-09-03T06:26:52.311047+00:00,1.156250000000e+01,4.530995000000e-04,4.526468531469e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,19,2026-09-03T06:26:52.967547+00:00,1.221900000000e+01,4.583832000000e-04,4.579252747253e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,20,2026-09-03T06:26:53.631547+00:00,1.288300000000e+01,4.481262000000e-04,4.476785214785e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,21,2026-09-03T06:26:54.295547+00:00,1.354700000000e+01,4.420000000000e-04,4.415584415584e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,22,2026-09-03T06:26:54.951547+00:00,1.420300000000e+01,4.581922000000e-04,4.577344655345e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,23,2026-09-03T06:26:55.607547+00:00,1.485900000000e+01,4.645661000000e-04,4.641019980020e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,24,2026-09-03T06:26:56.271547+00:00,1.552300000000e+01,4.551253000000e-04,4.546706293706e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,25,2026-09-03T06:26:56.936047+00:00,1.618750000000e+01,4.501025000000e-04,4.496528471528e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,26,2026-09-03T06:26:57.592547+00:00,1.684400000000e+01,4.407929000000e-04,4.403525474525e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,27,2026-09-03T06:26:58.248547+00:00,1.750000000000e+01,4.450540000000e-04,4.446093906094e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,28,2026-09-03T06:26:58.912547+00:00,1.816400000000e+01,4.502913000000e-04,4.498414585415e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,29,2026-09-03T06:26:59.576547+00:00,1.882800000000e+01,4.372180000000e-04,4.367812187812e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,30,2026-09-03T06:27:00.232547+00:00,1.948400000000e+01,4.467400000000e-04,4.462937062937e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,31,2026-09-03T06:27:00.889047+00:00,2.014050000000e+01,4.637958000000e-04,4.633324675325e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,32,2026-09-03T06:27:01.553547+00:00,2.080500000000e+01,4.413066000000e-04,4.408657342657e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,33,2026-09-03T06:27:02.217547+00:00,2.146900000000e+01,4.494049000000e-04,4.489559440559e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,34,2026-09-03T06:27:02.873547+00:00,2.212500000000e+01,4.436098000000e-04,4.431666333666e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,35,2026-09-03T06:27:03.537547+00:00,2.278900000000e+01,4.422810000000e-04,4.418391608392e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,36,2026-09-03T06:27:04.201547+00:00,2.345300000000e+01,4.464561000000e-04,4.460100899101e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,37,2026-09-03T06:27:04.857547+00:00,2.410900000000e+01,4.371604000000e-04,4.367236763237e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,38,2026-09-03T06:27:05.514047+00:00,2.476550000000e+01,4.345539000000e-04,4.341197802198e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,39,2026-09-03T06:27:06.178547+00:00,2.543000000000e+01,4.534504000000e-04,4.529974025974e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,40,2026-09-03T06:27:06.842547+00:00,2.609400000000e+01,4.514469000000e-04,4.509959040959e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,41,2026-09-03T06:27:07.498547+00:00,2.675000000000e+01,4.557447000000e-04,4.552894105894e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,42,2026-09-03T06:27:08.154547+00:00,2.740600000000e+01,4.526158000000e-04,4.521636363636e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,43,2026-09-03T06:27:08.818547+00:00,2.807000000000e+01,4.295999000000e-04,4.291707292707e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,44,2026-09-03T06:27:09.482547+00:00,2.873400000000e+01,4.589059000000e-04,4.584474525475e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,45,2026-09-03T06:27:10.139047+00:00,2.939050000000e+01,4.398067000000e-04,4.393673326673e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,46,2026-09-03T06:27:10.795547+00:00,3.004700000000e+01,4.421013000000e-04,4.416596403596e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,47,2026-09-03T06:27:11.467547+00:00,3.071900000000e+01,4.500999000000e-04,4.496502497502e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,48,2026-09-03T06:27:12.123547+00:00,3.137500000000e+01,4.511457000000e-04,4.506950049950e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,49,2026-09-03T06:27:12.779547+00:00,3.203100000000e+01,4.481364000000e-04,4.476887112887e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,50,2026-09-03T06:27:13.443547+00:00,3.269500000000e+01,4.558916000000e-04,4.554361638362e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,51,2026-09-03T06:27:14.107547+00:00,3.335900000000e+01,4.516780000000e-04,4.512267732268e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,52,2026-09-03T06:27:14.764047+00:00,3.401550000000e+01,4.704869000000e-04,4.700168831169e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,53,2026-09-03T06:27:15.420547+00:00,3.467200000000e+01,4.540598000000e-04,4.536061938062e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,54,2026-09-03T06:27:16.084547+00:00,3.533600000000e+01,4.522175000000e-04,4.517657342657e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,55,2026-09-03T06:27:16.748547+00:00,3.600000000000e+01,4.558326000000e-04,4.553772227772e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,56,2026-09-03T06:27:17.404547+00:00,3.665600000000e+01,4.529699000000e-04,4.525173826174e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,57,2026-09-03T06:27:18.061047+00:00,3.731250000000e+01,4.373195000000e-04,4.368826173826e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,58,2026-09-03T06:27:18.725047+00:00,3.797650000000e+01,4.328862000000e-04,4.324537462537e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,59,2026-09-03T06:27:19.389047+00:00,3.864050000000e+01,4.336646000000e-04,4.332313686314e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,60,2026-09-03T06:27:20.045547+00:00,3.929700000000e+01,4.563568000000e-04,4.559008991009e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,61,2026-09-03T06:27:20.701547+00:00,3.995300000000e+01,4.611500000000e-04,4.606893106893e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,62,2026-09-03T06:27:21.373547+00:00,4.062500000000e+01,4.573179000000e-04,4.568610389610e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,63,2026-09-03T06:27:22.029547+00:00,4.128100000000e+01,4.545072000000e-04,4.540531468531e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,64,2026-09-03T06:27:22.686047+00:00,4.193750000000e+01,4.435643000000e-04,4.431211788212e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,65,2026-09-03T06:27:23.350047+00:00,4.260150000000e+01,4.383746000000e-04,4.379366633367e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,66,2026-09-03T06:27:24.014047+00:00,4.326550000000e+01,4.421322000000e-04,4.416905094905e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,67,2026-09-03T06:27:24.670547+00:00,4.392200000000e+01,4.531316000000e-04,4.526789210789e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,68,2026-09-03T06:27:25.326547+00:00,4.457800000000e+01,4.450838000000e-04,4.446391608392e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,69,2026-09-03T06:27:25.990547+00:00,4.524200000000e+01,4.525497000000e-04,4.520976023976e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,70,2026-09-03T06:27:26.654547+00:00,4.590600000000e+01,4.315895000000e-04,4.311583416583e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,71,2026-09-03T06:27:27.311047+00:00,4.656250000000e+01,4.503274000000e-04,4.498775224775e-07
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V,1,72,2026-09-03T06:27:27.967547+00:00,4.721900000000e+01,4.440571000000e-04,4.436134865135e-07
