task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,1,2026-09-09T10:39:55.375180+00:00,3.280000000004e-01,-2.359015000000e-05,-2.356658341658e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,2,2026-09-09T10:39:56.039180+00:00,9.919999999993e-01,-2.754161000000e-05,-2.751409590410e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,3,2026-09-09T10:39:56.703680+00:00,1.656500000000e+00,-1.947801000000e-05,-1.945855144855e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,4,2026-09-09T10:39:57.360180+00:00,2.312999999999e+00,-3.590634000000e-05,-3.587046953047e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,5,2026-09-09T10:39:58.016180+00:00,2.969000000000e+00,-3.128528000000e-05,-3.125402597403e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,6,2026-09-09T10:39:58.688180+00:00,3.641000000001e+00,-2.977634000000e-05,-2.974659340659e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,7,2026-09-09T10:39:59.344180+00:00,4.297000000000e+00,-1.713453000000e-05,-1.711741258741e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,8,2026-09-09T10:40:00.000180+00:00,4.953000000000e+00,-2.276337000000e-05,-2.274062937063e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,9,2026-09-09T10:40:00.664180+00:00,5.616999999999e+00,-2.356102000000e-05,-2.353748251748e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,10,2026-09-09T10:40:01.328680+00:00,6.281500000000e+00,-2.745616000000e-05,-2.742873126873e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,11,2026-09-09T10:40:01.985180+00:00,6.937999999999e+00,-1.370547000000e-05,-1.369177822178e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,12,2026-09-09T10:40:02.641180+00:00,7.594000000000e+00,-2.528150000000e-05,-2.525624375624e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,13,2026-09-09T10:40:03.297180+00:00,8.249999999999e+00,-4.148042000000e-05,-4.143898101898e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,14,2026-09-09T10:40:03.969180+00:00,8.922000000000e+00,-1.467841000000e-05,-1.466374625375e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_20260909,1,15,2026-09-09T10:40:04.625180+00:00,9.578000000000e+00,-3.735858000000e-06,-3.732125874126e-09
