task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,1,2026-09-03T16:31:13.284244+00:00,3.280000000013e-01,2.283684000000e-05,2.281402597403e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,2,2026-09-03T16:31:13.940244+00:00,9.839999999967e-01,2.064797000000e-05,2.062734265734e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,3,2026-09-03T16:31:14.596244+00:00,1.639999999999e+00,1.793864000000e-05,1.792071928072e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,4,2026-09-03T16:31:15.252744+00:00,2.296500000004e+00,2.483786000000e-05,2.481304695305e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,5,2026-09-03T16:31:15.917244+00:00,2.961000000003e+00,3.702743000000e-05,3.699043956044e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,6,2026-09-03T16:31:16.581244+00:00,3.625000000000e+00,2.502002000000e-05,2.499502497502e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,7,2026-09-03T16:31:17.237244+00:00,4.280999999995e+00,1.946400000000e-05,1.944455544456e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,8,2026-09-03T16:31:17.893244+00:00,4.936999999998e+00,3.168659000000e-05,3.165493506494e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,9,2026-09-03T16:31:18.549744+00:00,5.593499999995e+00,4.876996000000e-05,4.872123876124e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,10,2026-09-03T16:31:19.213744+00:00,6.257500000000e+00,2.610455000000e-05,2.607847152847e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,11,2026-09-03T16:31:19.877744+00:00,6.921500000004e+00,2.943958000000e-05,2.941016983017e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,12,2026-09-03T16:31:20.534244+00:00,7.578000000001e+00,2.885893000000e-05,2.883009990010e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,13,2026-09-03T16:31:21.190244+00:00,8.233999999997e+00,1.841624000000e-05,1.839784215784e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,14,2026-09-03T16:31:21.854244+00:00,8.897999999994e+00,3.243541000000e-05,3.240300699301e-08
Offset_RevB_Chip_5_wiShield_Gmx_default_OSC_default_Vsup_pm6V_night_Gain1001,1,15,2026-09-03T16:31:22.518244+00:00,9.561999999998e+00,4.610710000000e-05,4.606103896104e-08
