task_id,run_number,reading_index,acquisition_time_utc,elapsed_s,output_voltage_v,equivalent_input_offset_v
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,1,2026-09-03T13:50:31.573171+00:00,3.359999999993e-01,-2.391372000000e-04,-2.388983016983e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,2,2026-09-03T13:50:32.237171+00:00,1.000000000000e+00,-2.299996000000e-04,-2.297698301698e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,3,2026-09-03T13:50:32.893671+00:00,1.656499999997e+00,-2.399363000000e-04,-2.396966033966e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,4,2026-09-03T13:50:33.550171+00:00,2.313000000002e+00,-2.338339000000e-04,-2.336002997003e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,5,2026-09-03T13:50:34.214171+00:00,2.976999999999e+00,-2.198584000000e-04,-2.196387612388e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,6,2026-09-03T13:50:34.878171+00:00,3.641000000000e+00,-2.253348000000e-04,-2.251096903097e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,7,2026-09-03T13:50:35.534171+00:00,4.296999999999e+00,-2.158196000000e-04,-2.156039960040e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,8,2026-09-03T13:50:36.190671+00:00,4.953500000000e+00,-2.250679000000e-04,-2.248430569431e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,9,2026-09-03T13:50:36.854671+00:00,5.617500000000e+00,-2.019269000000e-04,-2.017251748252e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,10,2026-09-03T13:50:37.518671+00:00,6.281499999997e+00,-1.874099000000e-04,-1.872226773227e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,11,2026-09-03T13:50:38.175171+00:00,6.938000000002e+00,-2.146319000000e-04,-2.144174825175e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,12,2026-09-03T13:50:38.831171+00:00,7.593999999997e+00,-2.359719000000e-04,-2.357361638362e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,13,2026-09-03T13:50:39.495171+00:00,8.258000000002e+00,-2.132181000000e-04,-2.130050949051e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,14,2026-09-03T13:50:40.159171+00:00,8.921999999999e+00,-2.287243000000e-04,-2.284958041958e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,15,2026-09-03T13:50:40.815671+00:00,9.578500000000e+00,-2.290747000000e-04,-2.288458541459e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,16,2026-09-03T13:50:41.472171+00:00,1.023500000000e+01,-2.214079000000e-04,-2.211867132867e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,17,2026-09-03T13:50:42.128171+00:00,1.089100000000e+01,-1.988486000000e-04,-1.986499500500e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,18,2026-09-03T13:50:42.792171+00:00,1.155500000000e+01,-2.020617000000e-04,-2.018598401598e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,19,2026-09-03T13:50:43.456171+00:00,1.221900000000e+01,-1.973417000000e-04,-1.971445554446e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,20,2026-09-03T13:50:44.112171+00:00,1.287500000000e+01,-2.083172000000e-04,-2.081090909091e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,21,2026-09-03T13:50:44.768671+00:00,1.353150000000e+01,-2.058305000000e-04,-2.056248751249e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,22,2026-09-03T13:50:45.425171+00:00,1.418800000000e+01,-2.200195000000e-04,-2.197997002997e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,23,2026-09-03T13:50:46.089171+00:00,1.485200000000e+01,-1.872397000000e-04,-1.870526473526e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,24,2026-09-03T13:50:46.753171+00:00,1.551600000000e+01,-2.187121000000e-04,-2.184936063936e-07
Offset_RevB_Chip_5_woShield_Gmx_default_OSC_default_Vsup_pm6V_night,1,25,2026-09-03T13:50:47.409171+00:00,1.617200000000e+01,-2.282031000000e-04,-2.279751248751e-07
