run_number,asd_1_hz_nv_per_sqrt_hz,asd_1000_hz_nv_per_sqrt_hz
1,6.3954847932577286,5.3731071188074884
2,5.6494283713834035,5.3124581194903868
3,5.7931817058578794,5.1872704785019108
4,4.9618801005486048,5.2641871547426753
5,5.6852265289467816,5.2122471961323313
6,6.0200357651537626,5.3116600113786729
7,5.6109381809346059,5.179053693031392
8,5.9301633242042096,5.3552760039278304
9,6.0709075623752202,5.2042141750087456
10,6.0536074509522484,5.2143926151995084
11,6.5800201360479944,5.2997827110156983
12,5.5420878124670381,5.2229886459863426
13,4.6670452372874438,5.3102174033035849
14,5.9569390993110787,5.242014476751935
15,6.0984379241797155,5.2321909140723681
16,5.6355743707081825,5.2770594845844911
17,4.8651793103667291,5.2615196912780089
18,4.900540606298537,5.3373178949163673
19,4.91023977502556,5.2109446414688136
20,5.4246947078500174,5.2677567643617822
21,4.7020700680249625,5.1956381793764175
22,5.4588362611444756,5.3116476861058137
23,5.3402050948057092,5.3161730518129247
24,6.0852606644558369,5.2379025836444697
25,5.8544249101776629,5.2726772477960839
26,5.344374410822744,5.3324307924430494
27,5.2481928241243372,5.2599179506706033
28,5.9348029524329569,5.4048546305056444
29,5.2059275745585145,5.2555376155581417
30,5.2420880448308997,5.3130444821665153
31,4.2795653870611599,5.2411122044060958
32,5.2046763838447303,5.2656157462010462
33,5.9984814333296779,5.3358415342901466
34,5.3624763787390375,5.325235303735143
35,5.3897892226407826,5.2479241223109279
36,5.7658811995648627,5.2530197972922803
37,5.7362597373206201,5.1865566970510528
38,5.4961157263549074,5.1549991087715759
39,5.8461283687617414,5.2610651124844656
40,5.3167743620372176,5.2440854561394685
41,6.1326896275578591,5.3016897236110765
42,5.9439953636005933,5.2890287037162391
43,5.8947280199488175,5.2853063763295056
44,5.7021427552960562,5.2664961243842976
45,5.7623716591805838,5.2850440235077523
46,5.6104480057851438,5.2302738105564197
47,5.8635907455696969,5.2389687498066069
48,5.2320459870138327,5.241613450794306
49,5.770139465021682,5.3061078100848569
50,4.6792262910195381,5.2451990217629678
51,5.8994672868882327,5.2991708351668594
52,6.9600354686411086,5.1509656121202188
53,5.7640457817524444,5.2655894491247937
54,5.6207398856606359,5.2520909182791256
55,5.3846193728924971,5.2263145735838084
56,5.0969391122867487,5.282863927312448
57,5.1501706051173821,5.2486782722096166
58,4.7233087319429359,5.2242668821014639
59,4.9550475022051694,5.1821550343306351
60,5.2259892795319063,5.1592892445269314
61,5.3885660483273323,5.2203250290173928
62,6.5072437767177815,5.2721578776978903
63,5.567805487278541,5.1351160732569436
64,5.2136598906795246,5.2949659352748748
65,4.5508227975357345,5.2509526208686603
66,5.0923323891257164,5.2318832178305286
67,4.6925776585753578,5.1885615923897346
68,5.084020809919271,5.2598681014052868
69,37.98186972750446,5.238226743995126
70,6.7599457130722405,5.2583472197899495
71,7.9362200286761482,5.2127325198714569
72,5.5542357869592864,5.2454582372579743
73,5.9772608886165397,5.3044014168528379
74,5.025544790642563,5.3241762570428284
75,6.0152825616702756,5.1766126982250107
76,4.9183894747006658,5.363529975656423
77,5.5723035695474765,5.4258187253006218
78,5.9402898963254511,5.2425135537264627
79,5.09152511879077,5.2725721385219941
80,4.2430214681103777,5.2199276598294508
81,4.0651269930716269,5.3208757589544877
82,6.1166009092676328,5.2701508607898031
83,7.3223332164770838,5.235515499715877
84,5.6334757765275798,5.3149992056290163
85,7.2279995821920169,5.3668299895606806
86,6.9141605261901402,5.2164248388223395
87,5.927658433481434,5.3225582905043822
88,5.7745680588839647,5.2514168522621256
89,6.137592068751637,5.3577590445272643
90,5.6059940973242917,5.1837517160394144
91,4.9001332147159484,5.1302706996312493
92,5.9647849774707637,5.2979661430311911
93,4.6802230274847938,5.2029329230457169
94,5.546230330151694,5.1879129666142179
95,6.5240483073890987,5.2418912947633824
96,5.3671840748525739,5.2898481465597662
97,6.854154745796774,5.3451091486642897
98,10.146891163804701,5.2374587841181954
99,8.8812369564876743,5.2636679177450461
100,10.788087452523179,5.343145961120694
