RunNumber,SourcePath,DeclaredSampleCount,SampleRateHz,DcMeanOutputV,TimeStdOutputV,PeakToPeakOutputV,MinOutputV,MaxOutputV,InputAsdAt1HzNVrtHz,MedianInputAsd1To10NVrtHz,MedianInputAsd100To10kNVrtHz
1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0329187342160131,0.0011406388017962,0.0251369119176698,-0.0390302286264761,-0.0138933167088063,41.7745768912013,21.8146223920986,4.56788322136588
2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0342379982750667,0.00137093527579245,0.0297817082859474,-0.0416171586111293,-0.0118354503251819,109.993959900929,32.1107077773064,4.88191641904717
3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0346280252638806,0.00136955376336096,0.0262103491374021,-0.0433062242940041,-0.017095875156602,119.872440392753,49.0809609823977,4.87516801356083
4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.035238496723675,0.00132969921021148,0.0288628773818336,-0.0424270778839174,-0.0135642005020838,34.0842129011029,32.9521911059312,4.82376774949682
5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0359026760172661,0.00133518837794819,0.0127727836425719,-0.0421179448139416,-0.0293451611713697,74.5552480729476,38.7465343184352,4.82236132136483
6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.036660527071709,0.0013231818588323,0.0125315351136137,-0.0428713457558745,-0.0303398106422608,88.5539144861845,36.793164516411,4.82600715811803
7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.036913635794126,0.00131495534283917,0.0130795497650299,-0.0434049797093466,-0.0303254299443167,60.1972750089571,38.9039417594227,4.82442372212662
8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0366396570322685,0.00132994983650831,0.03800002079696,-0.0430333402186002,-0.00503331942164018,49.4246827328445,29.2740631179775,4.85120639500648
9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0348249689121307,0.00132443611362187,0.0126297877459867,-0.0407962775645894,-0.0281664898186027,195.072288206452,43.6665016933409,4.84853042124634
10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0345062237458243,0.00131475860447939,0.0121856977818496,-0.0403387108068357,-0.0281530130249861,37.9503420668701,33.212722625853,4.78414582513878
