CobNumber,BiasCurrentMicroA,RunNumber,SourcePath,DeclaredSampleCount,SampleRateHz,DcMeanOutputV,TimeStdOutputV,PeakToPeakOutputV
1,1,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0335158028124668,0.000976889828991176,0.0089035880181098
1,1,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0332702469832498,0.000972271055860497,0.0094176510063683
1,1,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0335480162589258,0.00102156530595876,0.0478777635261046
1,1,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0339292762173122,0.00103272741391153,0.0485984636847072
1,1,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0340288967275283,0.00102280642886227,0.0465610489652561
1,1,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0342632061260369,0.00103898041097669,0.0501234187963145
1,1,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.03435916071139,0.00104044119192775,0.0508724339237291
1,1,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0345485787299909,0.00100064067623624,0.0469105836856263
1,1,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.037637025704,0.000996080562560865,0.0096987221565431
1,1,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0350718560076644,0.00098201520360867,0.0096426336775013
