condition,run,sourcePath,sampleCount,sampleRateHz,recordDurationS,welchSegmentCount,frequencyResolutionHz,quietBandMedianInputAsdNVrtHz,mains50HzInputAsdNVrtHz,integratedNoise0p1To10NVrms,integratedNoise0p1To100NVrms
±3 V，无屏蔽罩,run_01,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.9249932240961,410.566156769018,17.7687368776499,168.210315670477
±3 V，无屏蔽罩,run_02,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.02059335555546,389.690335671409,19.0756006461045,169.925137425133
±3 V，无屏蔽罩,run_03,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.80338222617918,382.178148278664,17.1093287612732,169.261224783367
±3 V，无屏蔽罩,run_04,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.91750341103851,407.349193371433,18.6898122385349,169.671629880686
±3 V，无屏蔽罩,run_05,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.33293953786731,410.503804614663,18.4744066344576,169.123342450191
±3 V，无屏蔽罩,run_06,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.2013146114897,378.198014191467,17.0200443713257,166.795764372739
±3 V，无屏蔽罩,run_07,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.11483266456148,392.022895747683,24.3280816631069,166.990735210885
±3 V，无屏蔽罩,run_08,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.92493737460615,390.175554980319,20.2843929253893,170.246194075425
±3 V，无屏蔽罩,run_09,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.11824646364615,381.578013415402,19.364437290046,167.148814632751
±3 V，无屏蔽罩,run_10,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.27068668951457,389.711824797025,19.1385221741472,166.978449461863
±3 V，有屏蔽罩,run_01,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.93960075390543,379.792502586744,17.1181587653396,163.79815475266
±3 V，有屏蔽罩,run_02,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.97771045027818,373.452721912395,18.4842430242129,164.634554116561
±3 V，有屏蔽罩,run_03,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.93878091555316,372.430055471416,16.7641865786925,165.432105838452
±3 V，有屏蔽罩,run_04,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.84880632832414,399.054941805145,20.9668257216883,166.984486303589
±3 V，有屏蔽罩,run_05,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.99830245493388,376.509599366583,18.1304216525991,166.288567327169
±3 V，有屏蔽罩,run_06,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.23835564758792,404.613721838981,20.2733239789327,168.416222008709
±3 V，有屏蔽罩,run_07,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.08875199414607,392.210679840309,19.4672592900968,164.425315688542
±3 V，有屏蔽罩,run_08,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.06563895955778,391.485398297506,20.7804174268048,164.643736463773
±3 V，有屏蔽罩,run_09,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,4.74961270241316,398.086076290782,17.9036908302649,171.839777552068
±3 V，有屏蔽罩,run_10,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.13766214887579,417.72101986555,17.5390426674354,173.41093945682
±18 V，无屏蔽罩,run_01,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.16039367036427,398.862040956387,20.3669163145464,168.477806477073
±18 V，无屏蔽罩,run_02,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.17545883551664,406.490241632666,18.7995020685155,171.017389289116
±18 V，无屏蔽罩,run_03,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.0716367164375,407.158005245625,22.0376827205051,169.805790883893
±18 V，无屏蔽罩,run_04,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.22017975707896,412.885426715663,18.1163682738413,170.082023664149
±18 V，无屏蔽罩,run_05,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.23815638460698,406.186712164722,18.2039079803351,174.024304889842
±18 V，无屏蔽罩,run_06,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.29462342927709,389.712309542756,22.1038444805873,172.068959900255
±18 V，无屏蔽罩,run_07,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.09555391158501,396.858289025112,20.4461159012481,170.132336448693
±18 V，无屏蔽罩,run_08,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.04708093117192,412.470290133328,19.0375942278144,169.313406441867
±18 V，无屏蔽罩,run_09,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.20503409520152,392.058263218115,21.9840073041075,167.865360385472
±18 V，无屏蔽罩,run_10,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.17637503537012,411.375055463752,22.4591544739227,169.541538109737
±18 V，有屏蔽罩,run_01,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.10222311116694,419.221278682161,22.6735526277156,173.919518566495
±18 V，有屏蔽罩,run_02,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.17328439963858,422.030931640456,19.8357910800178,174.497090662755
±18 V，有屏蔽罩,run_03,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.2103202441803,424.691195291514,19.1497243955163,176.25081445066
±18 V，有屏蔽罩,run_04,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.11994160835492,426.897089908447,18.3617121361016,176.194612045893
±18 V，有屏蔽罩,run_05,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.15473722049965,412.962088397095,21.5014638871421,174.707477934913
±18 V，有屏蔽罩,run_06,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.34033309625028,417.536899604209,17.9017245359004,172.569564909226
±18 V，有屏蔽罩,run_07,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.16282220685123,408.397804656408,20.6573318703984,169.982162339159
±18 V，有屏蔽罩,run_08,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.20117839210469,398.757671255947,18.4087855291799,170.80130936783
±18 V，有屏蔽罩,run_09,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.13602005148063,390.279124481787,18.9161251081901,169.758164412171
±18 V，有屏蔽罩,run_10,[raw waveform omitted; see data/raw/README.md],977436,50000,19.54872,2,0.1,5.05302463247059,405.385202338704,20.0070678239569,170.96915817275
